query_id,query_text,language,product_class,query_type,split,candidate_scene_id,record_id,scene_start_time,scene_end_time,relevance_grade,relevant_start_time,relevant_end_time,source_leakage,evidence_notes,correction_reason,reviewer_id,review_status,reviewed_at
VQ-001,空气炸锅怎样设置烹饪温度和时间？,zh-CN,Air Fryer,operation,development,airfryer-002-scene-0001,airfryer-002,0.0,11.044,0,,,no,画面仅展示成品甜点与文字“Air Fryer Oreos”，未出现空气炸锅本体、控制面板或温度/时间设置操作。,,R1,completed,2026-07-27T22:10:25+08:00
VQ-001,空气炸锅怎样设置烹饪温度和时间？,zh-CN,Air Fryer,operation,development,airfryer-002-scene-0008,airfryer-002,191.625,241.808,3,230.0,235.0,no,ASR明确说明需预热至350度并烹饪约7分钟，给出具体温度与时间参数。,,R1,completed,2026-07-27T22:17:08+08:00
VQ-001,空气炸锅怎样设置烹饪温度和时间？,zh-CN,Air Fryer,operation,development,airfryer-002-scene-0009,airfryer-002,241.808,257.424,1,,,no,画面显示人手把圆形食物放入黑色空气炸篮，但空气炸锅控制面板/温度/时间均不在画面中，ASR仅说'place our cookies in the basket seam side down'，未涉及温度/时间设置。,,R1,completed,2026-07-28T01:18:39+08:00
VQ-001,空气炸锅怎样设置烹饪温度和时间？,zh-CN,Air Fryer,operation,development,airfryer-002-scene-0010,airfryer-002,257.424,283.851,1,,,no,ASR提到烹饪7分钟，但未在画面中展示温度/时间设置操作。,,R1,completed,2026-07-27T22:20:03+08:00
VQ-001,空气炸锅怎样设置烹饪温度和时间？,zh-CN,Air Fryer,operation,development,airfryer-005-scene-0021,airfryer-005,202.502,207.465,1,,,no,画面显示将含食物的炸篮放入空气炸锅，未出现温度/时间旋钮或触控设置过程，ASR 仅提到'we set the temperature'但未给出具体数值或操作方法，无法回答如何设置。,,R1,completed,2026-07-27T22:01:34+08:00
VQ-001,空气炸锅怎样设置烹饪温度和时间？,zh-CN,Air Fryer,operation,development,airfryer-005-scene-0022,airfryer-005,207.465,227.314,3,207.465,227.314,no,画面中一位男士站在空气炸锅前讲解并打开/指向机身；ASR 明确说'set the temperature to 350 Fahrenheit and then we just turn it on for 10 minutes'，语音直接给出了温度与时间的设置，能回答问题。,,R1,completed,2026-07-27T22:01:40+08:00
VQ-001,空气炸锅怎样设置烹饪温度和时间？,zh-CN,Air Fryer,operation,development,airfryer-005-scene-0023,airfryer-005,227.314,232.694,1,,,no,画面展示烹饪完成后取出炸篮，未显示温度/时间设置。,,R1,completed,2026-07-27T22:23:08+08:00
VQ-001,空气炸锅怎样设置烹饪温度和时间？,zh-CN,Air Fryer,operation,development,airfryer-005-scene-0025,airfryer-005,239.199,243.87,1,,,no,画面仅展示炸篮内放有面包、鸡蛋和培根，未出现温度或时间设置界面/操作。,,R1,completed,2026-07-27T22:10:25+08:00
VQ-001,空气炸锅怎样设置烹饪温度和时间？,zh-CN,Air Fryer,operation,development,airfryer-005-scene-0026,airfryer-005,243.87,266.222,1,,,no,画面中只有主持人站立讲解，未见操作控制面板，ASR仅提到培根烹饪时间建议，未说明如何设置温度/时间。,,R1,completed,2026-07-27T22:10:25+08:00
VQ-001,空气炸锅怎样设置烹饪温度和时间？,zh-CN,Air Fryer,operation,development,airfryer-005-scene-0027,airfryer-005,266.222,270.142,1,,,no,画面仅展示炸篮内放有面包、鸡蛋和培根，未展示温度或时间设置。,,R1,completed,2026-07-27T22:14:31+08:00
VQ-001,空气炸锅怎样设置烹饪温度和时间？,zh-CN,Air Fryer,operation,development,airfryer-006-scene-0001,airfryer-006,0.0,4.538,0,,,no,画面为人物开场白与手持食材，未见空气炸锅本体或温度/时间设置操作。,AI原判为1级，但画面中无空气炸锅实体，仅为食谱引入，故降为0级。,R1,completed,2026-07-27T22:14:31+08:00
VQ-001,空气炸锅怎样设置烹饪温度和时间？,zh-CN,Air Fryer,operation,development,airfryer-006-scene-0005,airfryer-006,16.817,19.92,3,16.817,19.92,no,画面中白色空气炸锅显示屏显示350°F，并叠加文字“AIR FRY AT 350°F FOR 4 MINUTES”，直接给出温度与时间设置。,,R1,completed,2026-07-27T22:20:03+08:00
