record_id,product_class,title,source_platform,candidate_split,local_path,source_sha256,receipt_sha256,bytes,duration_seconds,fps,width,height,video_codec,audio_present,sample_frame_paths,sample_frame_count,duplicate_of,technical_decision,technical_reasons,content_decision,content_reason,screened_at
airfryer-002,Air Fryer,Library Kitchen: Air Fryer Oreos,Internet Archive,source_disjoint_test_candidate,data_video/raw/archive_candidates/airfryer-002.mp4,08a1d39bea47bfc6b67b5006e6e16729af75bc0ae9fb060268014e1e4885b8f0,08a1d39bea47bfc6b67b5006e6e16729af75bc0ae9fb060268014e1e4885b8f0,35728437,357.840,29.97,854,480,h264,yes,data_video/review/archive_candidate_frames/airfryer-002/sample_01.jpg|data_video/review/archive_candidate_frames/airfryer-002/sample_02.jpg|data_video/review/archive_candidate_frames/airfryer-002/sample_03.jpg|data_video/review/archive_candidate_frames/airfryer-002/sample_04.jpg|data_video/review/archive_candidate_frames/airfryer-002/sample_05.jpg,5,,pass,,pending,,2026-07-22T08:38:15.611605+00:00
airfryer-005,Air Fryer,Air Fryer Bacon and Egg Toast Recipe,Internet Archive,development_candidate,data_video/raw/archive_candidates/airfryer-005.mp4,af30c198eef94cae98d3b1c2ec8fc7ba6b0571979c2701c2d108dd8f0c33bd3a,af30c198eef94cae98d3b1c2ec8fc7ba6b0571979c2701c2d108dd8f0c33bd3a,34776570,355.210,23.98,854,480,h264,yes,data_video/review/archive_candidate_frames/airfryer-005/sample_01.jpg|data_video/review/archive_candidate_frames/airfryer-005/sample_02.jpg|data_video/review/archive_candidate_frames/airfryer-005/sample_03.jpg|data_video/review/archive_candidate_frames/airfryer-005/sample_04.jpg|data_video/review/archive_candidate_frames/airfryer-005/sample_05.jpg,5,,pass,,pending,,2026-07-22T08:38:19.347629+00:00
airfryer-006,Air Fryer,Make Easy ' Air Fryer Oreos' At Home With Only 2 Ingredients,Internet Archive,development_candidate,data_video/raw/archive_candidates/airfryer-006.mp4,5cc4dcbc92d594d1f19086d5fc32570b59210ebf5a1b01f2bb31cb362fc17b40,5cc4dcbc92d594d1f19086d5fc32570b59210ebf5a1b01f2bb31cb362fc17b40,1673333,31.180,29.97,360,360,h264,yes,data_video/review/archive_candidate_frames/airfryer-006/sample_01.jpg|data_video/review/archive_candidate_frames/airfryer-006/sample_02.jpg|data_video/review/archive_candidate_frames/airfryer-006/sample_03.jpg|data_video/review/archive_candidate_frames/airfryer-006/sample_04.jpg|data_video/review/archive_candidate_frames/airfryer-006/sample_05.jpg,5,,pass,,pending,,2026-07-21T11:13:02.504373+00:00
airfryer-008,Air Fryer,I Tested The Top 9 Air Fryers…These Are The 3 Best,Internet Archive,development_candidate,data_video/raw/archive_candidates/airfryer-008.mp4,a554d9e897b397882d1b7b839a0d750d2fa0bccbebc0e082129b1ae4dd5789c6,a554d9e897b397882d1b7b839a0d750d2fa0bccbebc0e082129b1ae4dd5789c6,50220509,500.210,30.0,854,480,h264,yes,data_video/review/archive_candidate_frames/airfryer-008/sample_01.jpg|data_video/review/archive_candidate_frames/airfryer-008/sample_02.jpg|data_video/review/archive_candidate_frames/airfryer-008/sample_03.jpg|data_video/review/archive_candidate_frames/airfryer-008/sample_04.jpg|data_video/review/archive_candidate_frames/airfryer-008/sample_05.jpg,5,,pass,,pending,,2026-07-22T08:38:23.165810+00:00
airfryer-011,Air Fryer,Monterey Recreation Presents: That's Good! Air Fryer Grilled Cheese,Internet Archive,development_candidate,data_video/raw/archive_candidates/airfryer-011.mp4,d47a8a1077c51d764227d20be8f4e23b4f0fbd6d6f30df5a6c4b2e6f3c067038,d47a8a1077c51d764227d20be8f4e23b4f0fbd6d6f30df5a6c4b2e6f3c067038,9570055,107.950,30.0,854,480,h264,yes,data_video/review/archive_candidate_frames/airfryer-011/sample_01.jpg|data_video/review/archive_candidate_frames/airfryer-011/sample_02.jpg|data_video/review/archive_candidate_frames/airfryer-011/sample_03.jpg|data_video/review/archive_candidate_frames/airfryer-011/sample_04.jpg|data_video/review/archive_candidate_frames/airfryer-011/sample_05.jpg,5,,pass,,pending,,2026-07-21T11:53:53.098472+00:00
airfryer-017,Air Fryer,Can I actually fix my kitchen air fryer?,Internet Archive,development_candidate,data_video/raw/archive_candidates/airfryer-017.mp4,9223ab4660d0c10be7da890c0ad13ee346420191e9607411c9edec081bf6a02b,9223ab4660d0c10be7da890c0ad13ee346420191e9607411c9edec081bf6a02b,281204276,1547.120,29.97,1280,720,h264,yes,data_video/review/archive_candidate_frames/airfryer-017/sample_01.jpg|data_video/review/archive_candidate_frames/airfryer-017/sample_02.jpg|data_video/review/archive_candidate_frames/airfryer-017/sample_03.jpg|data_video/review/archive_candidate_frames/airfryer-017/sample_04.jpg|data_video/review/archive_candidate_frames/airfryer-017/sample_05.jpg,5,,pass,,pending,,2026-07-22T21:55:05.904411+00:00
airfryer-018,Air Fryer,"Making a restaurant quality crispy pork belly doesn't have to be complicated. In fact, you can make one that looks and sounds just like this on a budget using an air fryer. Oh, did I also mention this dish costs under $25 and feeds the whole family!?!? 😮‍💨 I loved using the Ninja Foodi Max XXXL Dual Zone 9.5L Air Fryer AF400. I was able to cook both the pork belly and veggies to perfection thanks to the double barrel dual action of this beauty. I also made a quick red wine jus using ingredients I already had at home! 🫦 Your next Sunday roast just got a wholeeee lot better (and cheaper) 😉 #NinjaKitchenAU #NinjaAF400 #NinjaAirFryer @Ninja Kitchen Australia",Internet Archive,development_candidate,data_video/raw/archive_candidates/airfryer-018.mp4,1fe3b49b5c86fbc378545a861908972abbcea7b5e16f7a064a00443120a53877,1fe3b49b5c86fbc378545a861908972abbcea7b5e16f7a064a00443120a53877,5875781,59.420,30.0,270,480,h264,yes,data_video/review/archive_candidate_frames/airfryer-018/sample_01.jpg|data_video/review/archive_candidate_frames/airfryer-018/sample_02.jpg|data_video/review/archive_candidate_frames/airfryer-018/sample_03.jpg|data_video/review/archive_candidate_frames/airfryer-018/sample_04.jpg|data_video/review/archive_candidate_frames/airfryer-018/sample_05.jpg,5,,fail,resolution_too_low,not_reviewed,,2026-07-22T21:55:06.517156+00:00
airfryer-019,Air Fryer,"Who doesn't love crispy and succulent pork belly? 😍 I'm excited to share part 1 of my Thịt Heo Quay in the air fryer recipe with you all! This is my parent’s quick version of the classic Vietnamese roasted pork belly, which is usually made in the oven or over a fire pit. With the air fryer, you can achieve the same crispy skin and juicy meat without the hassle of constantly turning and checking on it. 🔥 For part 1 of the recipe, we'll be preparing the pork belly by marinating it with a delicious blend of seasonings. Then, letting it marinate overnight. 🌓 Stay tuned for part 2 on how to finish the Thịt Heo Quay! 😋 👩🏼‍🍳 Full recipe on Jenhdao.com 🔎 Search “Thịt Heo Quay” #ThitHeoQuay #AirFryerRecipe #VietnameseFood #PorkBelly #crispypork #jenhdao #asianrecipes #EasyRecipes #ocfoodie #recipereels #asmreating #foodasmr #asmrfood #levelupprogram #tiktokpartner #WomenOfTikTok",Internet Archive,development_candidate,data_video/raw/archive_candidates/airfryer-019.mp4,b7987a340b2b14be2f402edef3c686af52206e9ebe905ca945f2976a1b89d5ad,b7987a340b2b14be2f402edef3c686af52206e9ebe905ca945f2976a1b89d5ad,6033567,59.470,30.0,270,480,h264,yes,data_video/review/archive_candidate_frames/airfryer-019/sample_01.jpg|data_video/review/archive_candidate_frames/airfryer-019/sample_02.jpg|data_video/review/archive_candidate_frames/airfryer-019/sample_03.jpg|data_video/review/archive_candidate_frames/airfryer-019/sample_04.jpg|data_video/review/archive_candidate_frames/airfryer-019/sample_05.jpg,5,,fail,resolution_too_low,not_reviewed,,2026-07-22T21:55:07.092993+00:00
airfryer-020,Air Fryer,How to make Air Fryer Potato Stacks with a Sardine Tapenade #wildplanet #sardines #shorts #recipe,Internet Archive,development_candidate,data_video/raw/archive_candidates/airfryer-020.mp4,1b6e55374c5d433e802a3a7acf4a1f80939f5617eac1bfe90f8b64bb86778637,1b6e55374c5d433e802a3a7acf4a1f80939f5617eac1bfe90f8b64bb86778637,8924284,88.140,30.0,270,480,h264,yes,data_video/review/archive_candidate_frames/airfryer-020/sample_01.jpg|data_video/review/archive_candidate_frames/airfryer-020/sample_02.jpg|data_video/review/archive_candidate_frames/airfryer-020/sample_03.jpg|data_video/review/archive_candidate_frames/airfryer-020/sample_04.jpg|data_video/review/archive_candidate_frames/airfryer-020/sample_05.jpg,5,,fail,resolution_too_low,not_reviewed,,2026-07-22T21:55:07.668924+00:00
airfryer-021,Air Fryer,I COOKED FOUR STEAKS WITH FOUR DIFFERENT TYPES OF HAWAIIAN 🌴 SALTS IN MY AIR FRYER,Internet Archive,development_candidate,data_video/raw/archive_candidates/airfryer-021.mp4,36ac6aa98289a539bde6e5a073dafd563df36fa0cbc756b9c3e1554ddc434425,36ac6aa98289a539bde6e5a073dafd563df36fa0cbc756b9c3e1554ddc434425,82041292,781.140,30.0,854,480,h264,yes,data_video/review/archive_candidate_frames/airfryer-021/sample_01.jpg|data_video/review/archive_candidate_frames/airfryer-021/sample_02.jpg|data_video/review/archive_candidate_frames/airfryer-021/sample_03.jpg|data_video/review/archive_candidate_frames/airfryer-021/sample_04.jpg|data_video/review/archive_candidate_frames/airfryer-021/sample_05.jpg,5,,pass,,pending,,2026-07-22T21:55:08.515671+00:00
