record_id,product_class,title,source_platform,source_page_url,creator,license_id,candidate_split,technical_decision,machine_decision,machine_visual_evidence,machine_uncertainty,sample_frame_paths,review_priority,prescreen_flags,license_reviewer,license_review_status,license_review_notes,content_reviewer,content_review_status,content_review_notes,adjudicator,adjudication_status,adjudication_notes,final_decision,dataset_split
espresso-010,Espresso Machine,The bean that could save coffee from climate change.webm,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:The_bean_that_could_save_coffee_from_climate_change.webm,Context_news,CC BY-SA 4.0,development_candidate,pass,retain_for_human_review,"A person is operating an espresso machine, pouring water into a portafilter, which is a key step in the espresso extraction process.",,data_video/review/candidate_frames/espresso-010/sample_01.jpg|data_video/review/candidate_frames/espresso-010/sample_02.jpg|data_video/review/candidate_frames/espresso-010/sample_03.jpg|data_video/review/candidate_frames/espresso-010/sample_04.jpg|data_video/review/candidate_frames/espresso-010/sample_05.jpg,high,espresso_scope_risk,A,pending,,B,pending,,C,pending,,pending,pending
pressure-002,Pressure Cooker,Home Made Alcohol Pressure Cooker Modification.webm,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Home_Made_Alcohol_Pressure_Cooker_Modification.webm,ThekaService.com - Delhi's 1st Virtual Theka,CC BY 3.0,source_disjoint_test_candidate,pass,retain_for_human_review,"A stainless steel pot with a lid and pressure valve is shown connected by copper tubing to a bucket filled with ice, indicating a distillation setup. A hand is seen adjusting the copper tube in the ice bucket, and a measuring cup is shown with liquid, suggesting collection of distillate.",,data_video/review/candidate_frames/pressure-002/sample_01.jpg|data_video/review/candidate_frames/pressure-002/sample_02.jpg|data_video/review/candidate_frames/pressure-002/sample_03.jpg|data_video/review/candidate_frames/pressure-002/sample_04.jpg|data_video/review/candidate_frames/pressure-002/sample_05.jpg,high,unsafe_or_off_domain_modification,A,pending,,B,pending,,C,pending,,pending,pending
pressure-006,Pressure Cooker,Multi Function Pressure Cooker,Internet Archive,https://archive.org/details/multi-function-pressure-cooker,Archive contributor,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,A hand is placing food (chicken and potatoes) into the basket of a yellow appliance. The appliance has a digital control panel with cooking modes and a '360 air cooking' feature shown. The interior shows food being cooked by hot air circulation.,,data_video/review/archive_candidate_frames/pressure-006/sample_01.jpg|data_video/review/archive_candidate_frames/pressure-006/sample_02.jpg|data_video/review/archive_candidate_frames/pressure-006/sample_03.jpg|data_video/review/archive_candidate_frames/pressure-006/sample_04.jpg|data_video/review/archive_candidate_frames/pressure-006/sample_05.jpg,high,predicted_class_mismatch,A,pending,,B,pending,,C,pending,,pending,pending
pressure-009,Pressure Cooker,Best Pressure Cooker By Decent Cookware – Built For Everyday Indian Kitchens,Internet Archive,https://archive.org/details/best-pressure-cooker-by-decent-cookware-built-for-everyday-indian-kitchens,Archive contributor,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,"The frames display a stainless steel pressure cooker with a lid, valve, and handles. Text overlays highlight features like 'Premium quality', 'Stylish & Long-lasting', and 'Loved by families & chefs alike!'. The final frame provides contact information and shopping links.",,data_video/review/archive_candidate_frames/pressure-009/sample_01.jpg|data_video/review/archive_candidate_frames/pressure-009/sample_02.jpg|data_video/review/archive_candidate_frames/pressure-009/sample_03.jpg|data_video/review/archive_candidate_frames/pressure-009/sample_04.jpg|data_video/review/archive_candidate_frames/pressure-009/sample_05.jpg,high,no_visible_functional_step,A,pending,,B,pending,,C,pending,,pending,pending
printer-002,Printer,UV inkjet printing on letter box.ogv,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:UV_inkjet_printing_on_letter_box.ogv,Akaniji,CC BY-SA 3.0,source_disjoint_test_candidate,pass,retain_for_human_review,"A Mimaki brand large-format printer is shown on a workbench. The machine has a control panel with a green power indicator lit, and the print head is visible moving across the platen. No paper or media is being fed or printed, and no user interaction is visible.",,data_video/review/candidate_frames/printer-002/sample_01.jpg|data_video/review/candidate_frames/printer-002/sample_02.jpg|data_video/review/candidate_frames/printer-002/sample_03.jpg|data_video/review/candidate_frames/printer-002/sample_04.jpg|data_video/review/candidate_frames/printer-002/sample_05.jpg,high,no_visible_functional_step,A,pending,,B,pending,,C,pending,,pending,pending
vacuum-026,Vacuum,Vacuum Packaging Machine.webm,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Vacuum_Packaging_Machine.webm,LocalInformation,CC BY-SA 3.0,development_candidate,pass,retain_for_human_review,"A person is shown placing a bag of granular material into a stainless steel machine with a hinged lid, which is then closed. The machine has a control panel with a digital display and buttons, and the brand 'Sevana' is visible. This action is consistent with vacuum sealing.",,data_video/review/candidate_frames/vacuum-026/sample_01.jpg|data_video/review/candidate_frames/vacuum-026/sample_02.jpg|data_video/review/candidate_frames/vacuum-026/sample_03.jpg|data_video/review/candidate_frames/vacuum-026/sample_04.jpg|data_video/review/candidate_frames/vacuum-026/sample_05.jpg,high,vacuum_wrong_domain_risk,A,pending,,B,pending,,C,pending,,pending,pending
airfryer-006,Air Fryer,Make Easy ' Air Fryer Oreos' At Home With Only 2 Ingredients,Internet Archive,https://archive.org/details/make-easy-air-fryer-oreos-at-home-with-only-2-ingredients,Good Morning America,CC0-1.0,development_candidate,pass,retain_for_human_review,"Frame 4 shows a hand operating the handle of a white and black air fryer, indicating the appliance is being used. Frame 5 shows a cooked food item (likely the Oreo-crescent roll) being dusted with powdered sugar, which is a typical post-cooking step after air frying.",,data_video/review/archive_candidate_frames/airfryer-006/sample_01.jpg|data_video/review/archive_candidate_frames/airfryer-006/sample_02.jpg|data_video/review/archive_candidate_frames/airfryer-006/sample_03.jpg|data_video/review/archive_candidate_frames/airfryer-006/sample_04.jpg|data_video/review/archive_candidate_frames/airfryer-006/sample_05.jpg,normal,,A,pending,,B,pending,,C,pending,,pending,pending
airfryer-011,Air Fryer,Monterey Recreation Presents: That's Good! Air Fryer Grilled Cheese,Internet Archive,https://archive.org/details/monterca-Monterey_Recreation_Presents_-_That_s_Good_Air_Fryer_Grilled_Cheese,City of Monterey CA,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,"A black air fryer is visible on the counter, and a person is shown placing a sandwich into it and later eating the cooked sandwich.",,data_video/review/archive_candidate_frames/airfryer-011/sample_01.jpg|data_video/review/archive_candidate_frames/airfryer-011/sample_02.jpg|data_video/review/archive_candidate_frames/airfryer-011/sample_03.jpg|data_video/review/archive_candidate_frames/airfryer-011/sample_04.jpg|data_video/review/archive_candidate_frames/airfryer-011/sample_05.jpg,normal,,A,pending,,B,pending,,C,pending,,pending,pending
espresso-004,Espresso Machine,Der perfekte Espresso aus dem Siebträger.ogv,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Der_perfekte_Espresso_aus_dem_Siebtr%C3%A4ger.ogv,"Max Duchardt, Katrin Engel",CC BY 3.0,source_disjoint_test_candidate,pass,retain_for_human_review,"Frames show an espresso machine, tamping coffee grounds, brewing espresso into cups, and drinking the espresso. These are all operations directly related to using an espresso machine.",,data_video/review/candidate_frames/espresso-004/sample_01.jpg|data_video/review/candidate_frames/espresso-004/sample_02.jpg|data_video/review/candidate_frames/espresso-004/sample_03.jpg|data_video/review/candidate_frames/espresso-004/sample_04.jpg|data_video/review/candidate_frames/espresso-004/sample_05.jpg,normal,,A,pending,,B,pending,,C,pending,,pending,pending
espresso-005,Espresso Machine,"Morning Espresso Routine - Progress, Results, Observations and Miscellany.webm",Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Morning_Espresso_Routine_-_Progress,_Results,_Observations_and_Miscellany.webm","Scott Schiller from San Francisco, CA, USA",CC BY 2.0,source_disjoint_test_candidate,pass,retain_for_human_review,"Frames show a chrome portafilter being inserted into an espresso machine, followed by the extraction of espresso into a red cup. This is a clear operational sequence of an espresso machine.",,data_video/review/candidate_frames/espresso-005/sample_01.jpg|data_video/review/candidate_frames/espresso-005/sample_02.jpg|data_video/review/candidate_frames/espresso-005/sample_03.jpg|data_video/review/candidate_frames/espresso-005/sample_04.jpg|data_video/review/candidate_frames/espresso-005/sample_05.jpg,normal,,A,pending,,B,pending,,C,pending,,pending,pending
