caption_id,scene_id,record_id,start_seconds,end_seconds,summary_en,summary_zh,product_name,catalog_product_class,visible_components_json,visible_actions_json,visible_states_json,safety_or_warning_text_json,uncertainty,caption_text,model,model_revision,prompt_version,frame_paths_json,review_status
airfryer-002-scene-0001-vlm-0001,airfryer-002-scene-0001,airfryer-002,0.000,11.044,"Three powdered pastries are on a white plate with a fork, overlaid with text identifying the content as 'The Library Kitchen' and 'Air Fryer Oreos'.",白色盘子上有三个撒了粉的糕点，旁边放着一把叉子，叠加的文字显示内容为“图书馆厨房”和“空气炸锅奥利奥”。,Air Fryer Oreos,Air Fryer,"[""white plate"",""fork"",""pastries"",""powder"",""text overlay""]",[],[],[],,"Visual summary: Three powdered pastries are on a white plate with a fork, overlaid with text identifying the content as 'The Library Kitchen' and 'Air Fryer Oreos'.
视觉摘要: 白色盘子上有三个撒了粉的糕点，旁边放着一把叉子，叠加的文字显示内容为“图书馆厨房”和“空气炸锅奥利奥”。
Visible product: Air Fryer Oreos
Visible components: white plate; fork; pastries; powder; text overlay",Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,catalog-grounded-visible-scene-json-v2,"[""data_video/vlm_frames/airfryer-002-scene-0001/frame_01.jpg"",""data_video/vlm_frames/airfryer-002-scene-0001/frame_02.jpg"",""data_video/vlm_frames/airfryer-002-scene-0001/frame_03.jpg""]",pending
airfryer-002-scene-0002-vlm-0001,airfryer-002-scene-0002,airfryer-002,11.044,77.544,"A man in a blue apron stands at a kitchen counter with ingredients and an air fryer, preparing to make a dessert.",一名穿着蓝色围裙的男子站在厨房操作台前，台面上摆放着食材和空气炸锅，准备制作甜点。,Air Fryer,Air Fryer,"[""Air Fryer"",""Oreo cookies"",""Puff Pastry Sheets"",""Powdered Sugar container"",""Silicone baking mat"",""Small bowl with yellow liquid"",""Apron with 'Chef Library Kitchen' text""]","[""Man gesturing with hands"",""Man handling a puff pastry sheet""]",[],[],,"Visual summary: A man in a blue apron stands at a kitchen counter with ingredients and an air fryer, preparing to make a dessert.
视觉摘要: 一名穿着蓝色围裙的男子站在厨房操作台前，台面上摆放着食材和空气炸锅，准备制作甜点。
Visible product: Air Fryer
Visible components: Air Fryer; Oreo cookies; Puff Pastry Sheets; Powdered Sugar container; Silicone baking mat; Small bowl with yellow liquid; Apron with 'Chef Library Kitchen' text
Visible actions: Man gesturing with hands; Man handling a puff pastry sheet",Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,catalog-grounded-visible-scene-json-v2,"[""data_video/vlm_frames/airfryer-002-scene-0002/frame_01.jpg"",""data_video/vlm_frames/airfryer-002-scene-0002/frame_02.jpg"",""data_video/vlm_frames/airfryer-002-scene-0002/frame_03.jpg""]",pending
airfryer-002-scene-0003-vlm-0001,airfryer-002-scene-0003,airfryer-002,77.544,96.630,"A person is cutting circles from a sheet of dough on a silicone baking mat, with cookies and a bowl of yellow liquid nearby.",一个人正在硅胶烘焙垫上从面团片上切圆圈，旁边放着饼干和一碗黄色液体。,Air Fryer,Air Fryer,"[""silicone baking mat"",""dough"",""cookie cutter"",""Oreo cookies"",""bowl with yellow liquid"",""wooden brush"",""air fryer"",""white container""]","[""cutting dough with a cookie cutter"",""removing cut-out dough circles""]","[""dough being cut into circles"",""cut-out dough circles on the mat""]",[],,"Visual summary: A person is cutting circles from a sheet of dough on a silicone baking mat, with cookies and a bowl of yellow liquid nearby.
视觉摘要: 一个人正在硅胶烘焙垫上从面团片上切圆圈，旁边放着饼干和一碗黄色液体。
Visible product: Air Fryer
Visible components: silicone baking mat; dough; cookie cutter; Oreo cookies; bowl with yellow liquid; wooden brush; air fryer; white container
Visible actions: cutting dough with a cookie cutter; removing cut-out dough circles
Visible states: dough being cut into circles; cut-out dough circles on the mat",Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,catalog-grounded-visible-scene-json-v2,"[""data_video/vlm_frames/airfryer-002-scene-0003/frame_01.jpg"",""data_video/vlm_frames/airfryer-002-scene-0003/frame_02.jpg"",""data_video/vlm_frames/airfryer-002-scene-0003/frame_03.jpg""]",pending
airfryer-002-scene-0004-vlm-0001,airfryer-002-scene-0004,airfryer-002,96.630,118.852,"A man in a blue apron stands in a kitchen, presenting ingredients for a recipe on a counter. Visible items include Oreo cookies, puff pastry sheets, powdered sugar, and a black air fryer.",一名穿着蓝色围裙的男子站在厨房里，向观众展示制作食谱所需的食材。可见物品包括奥利奥饼干、千层酥皮、糖粉和一台黑色空气炸锅。,Air Fryer,Air Fryer,"[""black air fryer"",""Oreo cookie package"",""puff pastry sheet package"",""powdered sugar container"",""measuring cup"",""plate of cookies"",""silicone mat"",""small bowl of liquid""]","[""man gesturing with hands"",""man pointing at ingredients""]",[],[],,"Visual summary: A man in a blue apron stands in a kitchen, presenting ingredients for a recipe on a counter. Visible items include Oreo cookies, puff pastry sheets, powdered sugar, and a black air fryer.
视觉摘要: 一名穿着蓝色围裙的男子站在厨房里，向观众展示制作食谱所需的食材。可见物品包括奥利奥饼干、千层酥皮、糖粉和一台黑色空气炸锅。
Visible product: Air Fryer
Visible components: black air fryer; Oreo cookie package; puff pastry sheet package; powdered sugar container; measuring cup; plate of cookies; silicone mat; small bowl of liquid
Visible actions: man gesturing with hands; man pointing at ingredients",Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,catalog-grounded-visible-scene-json-v2,"[""data_video/vlm_frames/airfryer-002-scene-0004/frame_01.jpg"",""data_video/vlm_frames/airfryer-002-scene-0004/frame_02.jpg"",""data_video/vlm_frames/airfryer-002-scene-0004/frame_03.jpg""]",pending
airfryer-002-scene-0005-vlm-0001,airfryer-002-scene-0005,airfryer-002,118.852,126.393,"Several stacks of round, white dough discs are arranged on a silicone baking mat. To the left is a plate with chocolate sandwich cookies, and to the right is a small bowl of yellow liquid with a brush.",几叠圆形白色面团片整齐地摆放在硅胶烘焙垫上。左侧有一个装着巧克力夹心饼干的盘子，右侧有一个装着黄色液体的小碗和一把刷子。,Air Fryer,Air Fryer,"[""silicone baking mat"",""chocolate sandwich cookies"",""round dough discs"",""bowl of yellow liquid"",""brush"",""plate""]",[],[],[],,"Visual summary: Several stacks of round, white dough discs are arranged on a silicone baking mat. To the left is a plate with chocolate sandwich cookies, and to the right is a small bowl of yellow liquid with a brush.
视觉摘要: 几叠圆形白色面团片整齐地摆放在硅胶烘焙垫上。左侧有一个装着巧克力夹心饼干的盘子，右侧有一个装着黄色液体的小碗和一把刷子。
Visible product: Air Fryer
Visible components: silicone baking mat; chocolate sandwich cookies; round dough discs; bowl of yellow liquid; brush; plate",Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,catalog-grounded-visible-scene-json-v2,"[""data_video/vlm_frames/airfryer-002-scene-0005/frame_01.jpg"",""data_video/vlm_frames/airfryer-002-scene-0005/frame_02.jpg""]",pending
airfryer-002-scene-0006-vlm-0001,airfryer-002-scene-0006,airfryer-002,126.393,137.271,"A man in a blue apron is preparing food in a kitchen, with ingredients and an air fryer on the counter.",一名穿着蓝色围裙的男子在厨房准备食物，台面上有食材和空气炸锅。,Air Fryer,Air Fryer,"[""Air Fryer"",""Oreo cookies"",""Puff Pastry Sheets"",""Powdered Sugar container"",""Silicone mat"",""Egg yolk bowl"",""Apron"",""Glasses""]","[""The man is holding and manipulating a small piece of food."",""The man is using a brush to apply liquid to a piece of food.""]",[],[],,"Visual summary: A man in a blue apron is preparing food in a kitchen, with ingredients and an air fryer on the counter.
视觉摘要: 一名穿着蓝色围裙的男子在厨房准备食物，台面上有食材和空气炸锅。
Visible product: Air Fryer
Visible components: Air Fryer; Oreo cookies; Puff Pastry Sheets; Powdered Sugar container; Silicone mat; Egg yolk bowl; Apron; Glasses
Visible actions: The man is holding and manipulating a small piece of food.; The man is using a brush to apply liquid to a piece of food.",Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,catalog-grounded-visible-scene-json-v2,"[""data_video/vlm_frames/airfryer-002-scene-0006/frame_01.jpg"",""data_video/vlm_frames/airfryer-002-scene-0006/frame_02.jpg"",""data_video/vlm_frames/airfryer-002-scene-0006/frame_03.jpg""]",pending
airfryer-002-scene-0007-vlm-0001,airfryer-002-scene-0007,airfryer-002,137.271,191.625,A person is preparing food by brushing a liquid onto a dough circle and then pressing another dough circle on top.,一个人正在制作食物，先在面团圆片上刷液体，然后将另一片面团压在上面。,unknown,Air Fryer,"[""silicone baking mat"",""brush"",""small glass bowl"",""watch"",""apron""]","[""brushing"",""pressing"",""holding""]","[""dough circle"",""liquid in bowl""]",[],The specific product being prepared is not identifiable.,"Visual summary: A person is preparing food by brushing a liquid onto a dough circle and then pressing another dough circle on top.
视觉摘要: 一个人正在制作食物，先在面团圆片上刷液体，然后将另一片面团压在上面。
Visible product: unknown
Visible components: silicone baking mat; brush; small glass bowl; watch; apron
Visible actions: brushing; pressing; holding
Visible states: dough circle; liquid in bowl
Visual uncertainty: The specific product being prepared is not identifiable.",Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,catalog-grounded-visible-scene-json-v2,"[""data_video/vlm_frames/airfryer-002-scene-0007/frame_01.jpg"",""data_video/vlm_frames/airfryer-002-scene-0007/frame_02.jpg"",""data_video/vlm_frames/airfryer-002-scene-0007/frame_03.jpg""]",pending
airfryer-002-scene-0008-vlm-0001,airfryer-002-scene-0008,airfryer-002,191.625,241.808,"A man in a blue apron is preparing food in a kitchen, with ingredients and an air fryer on the counter.",一名穿着蓝色围裙的男子在厨房准备食物，台面上有食材和空气炸锅。,Air Fryer,Air Fryer,"[""air fryer"",""puff pastry box"",""OREO cookies package"",""powdered sugar container"",""silicone mat"",""plate with cookies"",""apron"",""glasses""]","[""man shaping dough"",""man holding a spray can and a pan""]","[""dough pieces on mat"",""cookies on plate""]",[],,"Visual summary: A man in a blue apron is preparing food in a kitchen, with ingredients and an air fryer on the counter.
视觉摘要: 一名穿着蓝色围裙的男子在厨房准备食物，台面上有食材和空气炸锅。
Visible product: Air Fryer
Visible components: air fryer; puff pastry box; OREO cookies package; powdered sugar container; silicone mat; plate with cookies; apron; glasses
Visible actions: man shaping dough; man holding a spray can and a pan
Visible states: dough pieces on mat; cookies on plate",Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,catalog-grounded-visible-scene-json-v2,"[""data_video/vlm_frames/airfryer-002-scene-0008/frame_01.jpg"",""data_video/vlm_frames/airfryer-002-scene-0008/frame_02.jpg"",""data_video/vlm_frames/airfryer-002-scene-0008/frame_03.jpg""]",pending
airfryer-002-scene-0009-vlm-0001,airfryer-002-scene-0009,airfryer-002,241.808,257.424,"A person wearing a blue apron holds an air fryer basket containing several round, pale yellow food items, with a yellow spray can on a silicone mat nearby.",一个人穿着蓝色围裙，手持一个装有数个圆形淡黄色食物的空气炸锅篮子，旁边硅胶垫上放着一个黄色喷雾罐。,Air Fryer,Air Fryer,"[""air fryer basket"",""silicone mat"",""yellow spray can"",""blue apron with text"",""watch""]","[""holding the air fryer basket"",""placing food items into the basket""]","[""food items inside the basket"",""basket being held open""]",[],,"Visual summary: A person wearing a blue apron holds an air fryer basket containing several round, pale yellow food items, with a yellow spray can on a silicone mat nearby.
视觉摘要: 一个人穿着蓝色围裙，手持一个装有数个圆形淡黄色食物的空气炸锅篮子，旁边硅胶垫上放着一个黄色喷雾罐。
Visible product: Air Fryer
Visible components: air fryer basket; silicone mat; yellow spray can; blue apron with text; watch
Visible actions: holding the air fryer basket; placing food items into the basket
Visible states: food items inside the basket; basket being held open",Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,catalog-grounded-visible-scene-json-v2,"[""data_video/vlm_frames/airfryer-002-scene-0009/frame_01.jpg"",""data_video/vlm_frames/airfryer-002-scene-0009/frame_02.jpg"",""data_video/vlm_frames/airfryer-002-scene-0009/frame_03.jpg""]",pending
airfryer-002-scene-0010-vlm-0001,airfryer-002-scene-0010,airfryer-002,257.424,283.851,"A man in a blue apron stands behind a kitchen counter with an air fryer, ingredients, and kitchen tools. He gestures and interacts with the air fryer basket.",一名穿着蓝色围裙的男子站在厨房操作台前，台面上有空气炸锅、食材和厨具。他做出手势并与空气炸锅的篮子互动。,Air Fryer,Air Fryer,"[""air fryer"",""air fryer basket"",""puff pastry sheets"",""OREO cookies"",""powdered sugar container"",""spray bottle"",""silicone mat"",""white plate"",""red placemat"",""chef apron"",""glasses"",""watch""]","[""gesturing with hand"",""holding air fryer basket"",""pointing at air fryer basket"",""placing hand on counter""]","[""man smiling"",""air fryer basket being held"",""ingredients arranged on counter""]",[],,"Visual summary: A man in a blue apron stands behind a kitchen counter with an air fryer, ingredients, and kitchen tools. He gestures and interacts with the air fryer basket.
视觉摘要: 一名穿着蓝色围裙的男子站在厨房操作台前，台面上有空气炸锅、食材和厨具。他做出手势并与空气炸锅的篮子互动。
Visible product: Air Fryer
Visible components: air fryer; air fryer basket; puff pastry sheets; OREO cookies; powdered sugar container; spray bottle; silicone mat; white plate; red placemat; chef apron; glasses; watch
Visible actions: gesturing with hand; holding air fryer basket; pointing at air fryer basket; placing hand on counter
Visible states: man smiling; air fryer basket being held; ingredients arranged on counter",Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,catalog-grounded-visible-scene-json-v2,"[""data_video/vlm_frames/airfryer-002-scene-0010/frame_01.jpg"",""data_video/vlm_frames/airfryer-002-scene-0010/frame_02.jpg"",""data_video/vlm_frames/airfryer-002-scene-0010/frame_03.jpg""]",pending
