query_id,query_text,language,product_class,query_type,split,query_status,expected_visual_evidence,source_leakage_guard
VQ-001,空气炸锅怎样设置烹饪温度和时间？,zh-CN,Air Fryer,operation,development,design_frozen_pending_index_validation,control-panel input followed by a cooking state,"no source title, creator, model number, or transcript quotation in query"
VQ-002,How should food be loaded into an air-fryer basket?,en,Air Fryer,operation,development,design_frozen_pending_index_validation,food placement in the removable basket,"no source title, creator, model number, or transcript quotation in query"
VQ-003,怎样插回炸篮并启动空气炸锅？,zh-CN,Air Fryer,operation,development,design_frozen_pending_index_validation,basket insertion and start control,"no source title, creator, model number, or transcript quotation in query"
VQ-004,What visible state shows that an air fryer is preheating?,en,Air Fryer,state,development,design_frozen_pending_index_validation,"preheat indicator, display, or heating transition","no source title, creator, model number, or transcript quotation in query"
VQ-005,怎样看出空气炸锅正在烹饪？,zh-CN,Air Fryer,state,development,design_frozen_pending_index_validation,"active timer, fan, heat, or cooking display","no source title, creator, model number, or transcript quotation in query"
VQ-006,What does an air fryer show when cooking is complete?,en,Air Fryer,state,development,design_frozen_pending_index_validation,completion indicator and finished food,"no source title, creator, model number, or transcript quotation in query"
VQ-007,空气炸锅的炸篮和接油盘在哪里？,zh-CN,Air Fryer,component,development,design_frozen_pending_index_validation,basket removal exposing tray parts,"no source title, creator, model number, or transcript quotation in query"
VQ-008,How are the main controls on an air-fryer panel used?,en,Air Fryer,component,development,design_frozen_pending_index_validation,close view of buttons or touch controls,"no source title, creator, model number, or transcript quotation in query"
VQ-009,空气炸锅内腔和加热部件位于哪里？,zh-CN,Air Fryer,component,development,design_frozen_pending_index_validation,open chamber or upper heating area,"no source title, creator, model number, or transcript quotation in query"
VQ-010,How do I clean the air-fryer basket after use?,en,Air Fryer,maintenance,development,design_frozen_pending_index_validation,basket removal and washing or wiping,"no source title, creator, model number, or transcript quotation in query"
VQ-011,怎样清除空气炸锅中的油脂和食物残渣？,zh-CN,Air Fryer,maintenance,source_disjoint_test,design_frozen_pending_index_validation,wiping or washing greasy interior parts,"no source title, creator, model number, or transcript quotation in query"
VQ-012,How should the air-fryer chamber or heating area be cleaned?,en,Air Fryer,maintenance,source_disjoint_test,design_frozen_pending_index_validation,safe interior cleaning with appliance inactive,"no source title, creator, model number, or transcript quotation in query"
VQ-013,炸篮没有装到位导致空气炸锅不启动时怎么办？,zh-CN,Air Fryer,troubleshooting,source_disjoint_test,design_frozen_pending_index_validation,basket reseating followed by successful start,"no source title, creator, model number, or transcript quotation in query"
VQ-014,How can uneven air-fryer cooking be corrected?,en,Air Fryer,troubleshooting,source_disjoint_test,design_frozen_pending_index_validation,"shaking, turning, or redistributing food","no source title, creator, model number, or transcript quotation in query"
VQ-015,空气炸锅冒烟或有明显油烟时怎样处理？,zh-CN,Air Fryer,troubleshooting,source_disjoint_test,design_frozen_pending_index_validation,"stop, inspect grease or residue, and clean","no source title, creator, model number, or transcript quotation in query"
VQ-016,How can a hot air-fryer basket be removed safely?,en,Air Fryer,safety,source_disjoint_test,design_frozen_pending_index_validation,handle use and heat-safe placement,"no source title, creator, model number, or transcript quotation in query"
VQ-017,使用空气炸锅时怎样避免堵住进出风口？,zh-CN,Air Fryer,safety,source_disjoint_test,design_frozen_pending_index_validation,unobstructed appliance placement and visible vents,"no source title, creator, model number, or transcript quotation in query"
VQ-018,How do I fill an espresso machine with water and prepare it for extraction?,en,Espresso Machine,operation,development,design_frozen_pending_index_validation,water reservoir filling and machine preparation,"no source title, creator, model number, or transcript quotation in query"
VQ-019,咖啡粉怎样装入并压实在手柄中？,zh-CN,Espresso Machine,operation,development,design_frozen_pending_index_validation,grounds placed and tamped in portafilter,"no source title, creator, model number, or transcript quotation in query"
VQ-020,How do I lock in the portafilter and start an espresso shot?,en,Espresso Machine,operation,development,design_frozen_pending_index_validation,portafilter locking and extraction control,"no source title, creator, model number, or transcript quotation in query"
VQ-021,咖啡机预热完成可以萃取时是什么状态？,zh-CN,Espresso Machine,state,development,design_frozen_pending_index_validation,"ready light, display, or stable boiler state","no source title, creator, model number, or transcript quotation in query"
VQ-022,What does a normal espresso extraction look like?,en,Espresso Machine,state,development,design_frozen_pending_index_validation,espresso stream entering a cup,"no source title, creator, model number, or transcript quotation in query"
VQ-023,一杯浓缩咖啡萃取结束时有什么可见信号？,zh-CN,Espresso Machine,state,development,design_frozen_pending_index_validation,"flow stopping, timer ending, or cup removal","no source title, creator, model number, or transcript quotation in query"
VQ-024,Where are the portafilter and filter basket on an espresso machine?,en,Espresso Machine,component,development,design_frozen_pending_index_validation,portafilter and basket shown separately or installed,"no source title, creator, model number, or transcript quotation in query"
VQ-025,咖啡机蒸汽棒怎样打开并用于打奶泡？,zh-CN,Espresso Machine,component,development,design_frozen_pending_index_validation,steam control and wand in milk pitcher,"no source title, creator, model number, or transcript quotation in query"
VQ-026,Where are the group head and drip tray on an espresso machine?,en,Espresso Machine,component,development,design_frozen_pending_index_validation,front machine view identifying both components,"no source title, creator, model number, or transcript quotation in query"
