record_id,product_class,archive_identifier,procedure_or_scene,candidate_split
vacuum-047,Vacuum,youtube-3sgGbC0ZRvI,"household vacuum operation, maintenance, or troubleshooting",development_candidate
vacuum-048,Vacuum,youtube-e1nVFENggPM,"household vacuum operation, maintenance, or troubleshooting",development_candidate
vacuum-049,Vacuum,youtube-NfRxRDRrQL4,"household vacuum operation, maintenance, or troubleshooting",development_candidate
vacuum-050,Vacuum,youtube-H-P4SOWj36w,"household vacuum operation, maintenance, or troubleshooting",development_candidate
vacuum-051,Vacuum,youtube-LOTmO67RmRA,"household vacuum operation, maintenance, or troubleshooting",development_candidate
vacuum-052,Vacuum,youtube-yaQeyOuiP-4,"household vacuum operation, maintenance, or troubleshooting",development_candidate
vacuum-053,Vacuum,best-vacuum-cleaner-for-hardwood-floors,"household vacuum operation, maintenance, or troubleshooting",development_candidate
vacuum-054,Vacuum,youtube-zNJCvk5Nu9A,"household vacuum operation, maintenance, or troubleshooting",development_candidate
vacuum-055,Vacuum,youtube-NjlF46DPOIQ,"household vacuum operation, maintenance, or troubleshooting",development_candidate
vacuum-056,Vacuum,youtube-o-_MYHj_Wog,"household vacuum operation, maintenance, or troubleshooting",development_candidate
vacuum-057,Vacuum,youtube-VG3aaDpKe-I,"household vacuum operation, maintenance, or troubleshooting",development_candidate
vacuum-058,Vacuum,youtube-MGZnlbK30v4,"household vacuum operation, maintenance, or troubleshooting",development_candidate
vacuum-059,Vacuum,youtube-Hhv2BUFRYoE,"household vacuum operation, maintenance, or troubleshooting",development_candidate
vacuum-060,Vacuum,youtube-QpDibOca3Tc,"household vacuum operation, maintenance, or troubleshooting",development_candidate
vacuum-061,Vacuum,youtube-XABScGX-Mg8,"household vacuum operation, maintenance, or troubleshooting",development_candidate
vacuum-062,Vacuum,youtube-O2A1LbZ95OM,"household vacuum operation, maintenance, or troubleshooting",development_candidate
vacuum-063,Vacuum,youtube-enVW3iWhz10,"household vacuum operation, maintenance, or troubleshooting",development_candidate
vacuum-064,Vacuum,youtube-ncqEZfKLcTs,"household vacuum operation, maintenance, or troubleshooting",development_candidate
vacuum-065,Vacuum,2017-08-15_TechSmartt_NEVER-USE-This-Vacuum-Cleaner-Haircut-Gadget,"household vacuum operation, maintenance, or troubleshooting",development_candidate
washing-048,Washing Machine,youtube-MlSccVEf9X8,"washing machine operation, maintenance, or troubleshooting",development_candidate
washing-049,Washing Machine,youtube-c8XiTdH9heQ,"washing machine operation, maintenance, or troubleshooting",development_candidate
washing-050,Washing Machine,youtube-VqdLgLyQ81Y,"washing machine operation, maintenance, or troubleshooting",development_candidate
washing-051,Washing Machine,youtube--5f6NURRjUs,"washing machine operation, maintenance, or troubleshooting",development_candidate
washing-052,Washing Machine,bigclive_20170917,"washing machine operation, maintenance, or troubleshooting",development_candidate
washing-053,Washing Machine,httpsnearbywashingmachinerepair.in,"washing machine operation, maintenance, or troubleshooting",development_candidate
washing-054,Washing Machine,youtube-csbGtz8D1lw,"washing machine operation, maintenance, or troubleshooting",development_candidate
washing-055,Washing Machine,youtube-wrRHQjUOrCs,"washing machine operation, maintenance, or troubleshooting",development_candidate
washing-056,Washing Machine,youtube-TngLsmls00c,"washing machine operation, maintenance, or troubleshooting",development_candidate
washing-057,Washing Machine,youtube-1iGAacTgkxc,"washing machine operation, maintenance, or troubleshooting",development_candidate
washing-058,Washing Machine,youtube-X6DiGFHcJtg,"washing machine operation, maintenance, or troubleshooting",development_candidate
washing-059,Washing Machine,youtube-yz6PV8O5C2s,"washing machine operation, maintenance, or troubleshooting",development_candidate
washing-060,Washing Machine,youtube-trWG49Qp5ps,"washing machine operation, maintenance, or troubleshooting",development_candidate
washing-061,Washing Machine,youtube-6kghyoFhYb8,"washing machine operation, maintenance, or troubleshooting",development_candidate
washing-062,Washing Machine,youtube-S_7pnxpmFcU,"washing machine operation, maintenance, or troubleshooting",development_candidate
washing-063,Washing Machine,youtube-2YPIWeWR6Ss,"washing machine operation, maintenance, or troubleshooting",development_candidate
washing-064,Washing Machine,youtube-CiJI2aq_Wnw,"washing machine operation, maintenance, or troubleshooting",development_candidate
washing-065,Washing Machine,youtube-VW8QV9W6LZ0,"washing machine operation, maintenance, or troubleshooting",development_candidate
washing-066,Washing Machine,youtube-rkRoBFW2k0I,"washing machine operation, maintenance, or troubleshooting",development_candidate
washing-067,Washing Machine,youtube-71kKEb5FNnI,"washing machine operation, maintenance, or troubleshooting",development_candidate
washing-068,Washing Machine,youtube-rMsIyVGbBAk,"washing machine operation, maintenance, or troubleshooting",development_candidate
washing-069,Washing Machine,youtube-gRfpIUVfgZQ,"washing machine operation, maintenance, or troubleshooting",development_candidate
