record_id,product_class,archive_identifier,title,creator,description_excerpt,source_page_url,license_url,selected_file,selected_format,bytes,duration_seconds,width,height,matched_queries,discovery_score,selection_status,selection_reason
,Air Fryer,twitch-vod-v1966979043,i can feel my face ♫♪ Dancin' !sus !gg !dad !airfryer,ronn,Source: https://www.twitch.tv/videos/1966979043 Uploader: ronn,https://archive.org/details/twitch-vod-v1966979043,,,,,,,,title:(airfryer),4,reject_file,no bounded video file
,Air Fryer,twitch-vod-v1978396754,2 ♫♪ Dancin' !pplus !sus !gg !dad !airfryer,ronn,Source: https://www.twitch.tv/videos/1978396754 Uploader: ronn,https://archive.org/details/twitch-vod-v1978396754,,,,,,,,title:(airfryer),4,reject_file,no bounded video file
,Air Fryer,twitch-vod-v1997087470,allo am aliv ♫♪ Dancin' !pplus !sus !gg !dad !airfryer,ronn,Source: https://www.twitch.tv/videos/1997087470 Uploader: ronn,https://archive.org/details/twitch-vod-v1997087470,,,,,,,,title:(airfryer),4,reject_file,no bounded video file
,Air Fryer,twitch-vod-v2010568843,Allo new chippizza model ♫♪ Dancin' !pplus !sus !gg !dad !airfryer,ronn,Source: https://www.twitch.tv/videos/2010568843 Uploader: ronn,https://archive.org/details/twitch-vod-v2010568843,,,,,,,,title:(airfryer),4,reject_file,no bounded video file
,Air Fryer,twitch-vod-v2038708324,bing bippity bop ♫♪ Dancin' !pplus !sus !gg !dad !airfryer,ronn,Source: https://www.twitch.tv/videos/2038708324 Uploader: ronn,https://archive.org/details/twitch-vod-v2038708324,,,,,,,,title:(airfryer),4,reject_file,no bounded video file
,Air Fryer,twitch-vod-v2047697225,sup cuh ♫♪ Dancin' !pplus !sus !gg !dad !airfryer,ronn,Source: https://www.twitch.tv/videos/2047697225 Uploader: ronn,https://archive.org/details/twitch-vod-v2047697225,,,,,,,,title:(airfryer),4,reject_file,no bounded video file
,Air Fryer,twitch-vod-v2067888161,wireless pizza attempt #1 ♫♪ Dancin' !sus !gg !dad !airfryer,ronn,Source: https://www.twitch.tv/videos/2067888161 Uploader: ronn,https://archive.org/details/twitch-vod-v2067888161,,,,,,,,title:(airfryer),4,reject_file,no bounded video file
,Air Fryer,twitch-vod-v2070704956,wireless pizza attempt #2 ♫♪ Dancin' !sus !gg !dad !airfryer,ronn,Source: https://www.twitch.tv/videos/2070704956 Uploader: ronn,https://archive.org/details/twitch-vod-v2070704956,,,,,,,,title:(airfryer),4,reject_file,no bounded video file
,Air Fryer,twitch-vod-v2078294253,dancing for scrap metal ♫♪ Dancin' !sus !gg !dad !airfryer,ronn,Source: https://www.twitch.tv/videos/2078294253 Uploader: ronn,https://archive.org/details/twitch-vod-v2078294253,,,,,,,,title:(airfryer),4,reject_file,no bounded video file
,Air Fryer,twitch-vod-v2105299202,redrum&zaps ♫♪ Dancin' !zap !sus !gg !dad !airfryer !giveaway,ronn,Source: https://www.twitch.tv/videos/2105299202 Uploader: ronn,https://archive.org/details/twitch-vod-v2105299202,,,,,,,,title:(airfryer),4,reject_file,no bounded video file
