record_id,expected_product_class,title,target_visible,predicted_product_class,procedure_relevance,functional_step_visible,visual_evidence,uncertainty,machine_decision,model,model_revision,prompt_version,frame_paths_json,processed_at,error
vacuum-012,Vacuum,Waarom piekuren^ Weeknummer 50-45 - Open Beelden - 30705.ogv,no,uncertain,irrelevant,no,"Frames show a lathe in operation, a man looking in a mirror, and a hand turning a door handle. No vacuum cleaner or related activity is visible.",,reject_out_of_scope,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/vacuum-012/sample_01.jpg"",""data_video/review/candidate_frames/vacuum-012/sample_02.jpg"",""data_video/review/candidate_frames/vacuum-012/sample_03.jpg"",""data_video/review/candidate_frames/vacuum-012/sample_04.jpg"",""data_video/review/candidate_frames/vacuum-012/sample_05.jpg""]",2026-07-21T11:24:20.572581+00:00,
vacuum-013,Vacuum,"Artemis IV Liquid Oxygen Tank Constructed, Moves to Next Phase of Production (MAF 20260526 CS4 LOX VAC to CellD).webm",no,uncertain,manufacturing,yes,"Frames show a large metallic cylindrical tank being moved by a crane inside a factory, with workers and equipment visible. The tank is part of a rocket assembly process, not a household product.",,reject_out_of_scope,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/vacuum-013/sample_01.jpg"",""data_video/review/candidate_frames/vacuum-013/sample_02.jpg"",""data_video/review/candidate_frames/vacuum-013/sample_03.jpg"",""data_video/review/candidate_frames/vacuum-013/sample_04.jpg"",""data_video/review/candidate_frames/vacuum-013/sample_05.jpg""]",2026-07-21T11:24:50.836503+00:00,
vacuum-015,Vacuum,STORIE Thermal Vacuum Test at NASA Goddard Space Flight Center (SVS14874 060925 TVAC-Part1 4K YouTube).webm,no,uncertain,uncertain,no,"Frames show a large industrial chamber with personnel in clean suits, suggesting a controlled environment test. A large cylindrical chamber and equipment labeled '281' are visible, consistent with a thermal vacuum chamber used for aerospace testing, not a household vacuum cleaner.",,reject_out_of_scope,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/vacuum-015/sample_01.jpg"",""data_video/review/candidate_frames/vacuum-015/sample_02.jpg"",""data_video/review/candidate_frames/vacuum-015/sample_03.jpg"",""data_video/review/candidate_frames/vacuum-015/sample_04.jpg"",""data_video/review/candidate_frames/vacuum-015/sample_05.jpg""]",2026-07-21T11:25:24.799559+00:00,
vacuum-016,Vacuum,STORIE Thermal Vacuum Test at NASA Goddard Space Flight Center (SVS14874 061025 TVAC-Part2 4K YouTube).webm,no,uncertain,uncertain,no,"Frames show technicians in clean suits working on a spacecraft component inside a large chamber with transparent walls and yellow railings. The chamber appears to be a vacuum chamber for testing, but the equipment itself is not a household vacuum cleaner.",,reject_out_of_scope,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/vacuum-016/sample_01.jpg"",""data_video/review/candidate_frames/vacuum-016/sample_02.jpg"",""data_video/review/candidate_frames/vacuum-016/sample_03.jpg"",""data_video/review/candidate_frames/vacuum-016/sample_04.jpg"",""data_video/review/candidate_frames/vacuum-016/sample_05.jpg""]",2026-07-21T11:25:57.331780+00:00,
vacuum-017,Vacuum,Alabama Rally Against Injustice protest in Hoover 6-6-20.webm,no,uncertain,irrelevant,no,"Frames show a woman speaking at an outdoor protest with people, signs, and a rainbow flag in the background. No household products are visible.",,reject_out_of_scope,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/vacuum-017/sample_01.jpg"",""data_video/review/candidate_frames/vacuum-017/sample_02.jpg"",""data_video/review/candidate_frames/vacuum-017/sample_03.jpg"",""data_video/review/candidate_frames/vacuum-017/sample_04.jpg"",""data_video/review/candidate_frames/vacuum-017/sample_05.jpg""]",2026-07-21T11:26:24.824639+00:00,
vacuum-018,Vacuum,Vacuum Cannon.webm,no,uncertain,uncertain,no,"A person is operating a device with tubing and a pipe on a lab bench, with a can of beer nearby. The device resembles a homemade vacuum cannon, but the frames do not clearly show a household vacuum cleaner or its typical operation.","The device is not clearly identifiable as a household vacuum cleaner; it appears to be a custom-built apparatus, possibly for a physics experiment.",reject_out_of_scope,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/vacuum-018/sample_01.jpg"",""data_video/review/candidate_frames/vacuum-018/sample_02.jpg"",""data_video/review/candidate_frames/vacuum-018/sample_03.jpg"",""data_video/review/candidate_frames/vacuum-018/sample_04.jpg"",""data_video/review/candidate_frames/vacuum-018/sample_05.jpg""]",2026-07-21T11:27:05.952606+00:00,
vacuum-019,Vacuum,Hoover Grandchildren Playing Outside (31-MP-613).webm,no,uncertain,irrelevant,no,"Frames show a child, foliage, and a rooftop silhouette, with no visible vacuum cleaner or related operation.",,reject_out_of_scope,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/vacuum-019/sample_01.jpg"",""data_video/review/candidate_frames/vacuum-019/sample_02.jpg"",""data_video/review/candidate_frames/vacuum-019/sample_03.jpg"",""data_video/review/candidate_frames/vacuum-019/sample_04.jpg"",""data_video/review/candidate_frames/vacuum-019/sample_05.jpg""]",2026-07-21T11:27:31.656051+00:00,
vacuum-020,Vacuum,Interview with Nan Hoover by Willem van Weelden.webm,no,uncertain,irrelevant,no,Frames show a person and a television displaying abstract imagery. No vacuum cleaner or related equipment is visible.,,reject_out_of_scope,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/vacuum-020/sample_01.jpg"",""data_video/review/candidate_frames/vacuum-020/sample_02.jpg"",""data_video/review/candidate_frames/vacuum-020/sample_03.jpg"",""data_video/review/candidate_frames/vacuum-020/sample_04.jpg"",""data_video/review/candidate_frames/vacuum-020/sample_05.jpg""]",2026-07-21T11:27:57.003077+00:00,
vacuum-021,Vacuum,Observation-of-Live-Ticks-(Haemaphysalis-flava)-by-Scanning-Electron-Microscopy-under-High-Vacuum-pone.0032676.s002.ogv,no,uncertain,irrelevant,no,"Frames show scanning electron microscope images of ticks, with a brief shot of a gloved hand holding a small object over a petri dish. No vacuum cleaner or related components are visible.",,reject_out_of_scope,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/vacuum-021/sample_01.jpg"",""data_video/review/candidate_frames/vacuum-021/sample_02.jpg"",""data_video/review/candidate_frames/vacuum-021/sample_03.jpg"",""data_video/review/candidate_frames/vacuum-021/sample_04.jpg"",""data_video/review/candidate_frames/vacuum-021/sample_05.jpg""]",2026-07-21T11:28:27.378600+00:00,
vacuum-022,Vacuum,Rodin coil - 120 vac = Flying magnets... separating neodymium magnets via Rodin coil (TEST12).webm,no,uncertain,uncertain,no,"Frames show a workbench with electronic equipment, wires, and a large coil-like object. A hand is seen holding magnets and tools, but no vacuum cleaner or related device is visible.",,reject_out_of_scope,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/vacuum-022/sample_01.jpg"",""data_video/review/candidate_frames/vacuum-022/sample_02.jpg"",""data_video/review/candidate_frames/vacuum-022/sample_03.jpg"",""data_video/review/candidate_frames/vacuum-022/sample_04.jpg"",""data_video/review/candidate_frames/vacuum-022/sample_05.jpg""]",2026-07-21T11:28:57.687667+00:00,
vacuum-025,Vacuum,Herbert Hoover video montage.ogv,no,uncertain,irrelevant,no,"Frames show historical footage of Herbert Hoover, the 30th President of the United States, in various settings including close-ups, at a desk, and addressing crowds. No household products or appliances are visible.",,reject_out_of_scope,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/vacuum-025/sample_01.jpg"",""data_video/review/candidate_frames/vacuum-025/sample_02.jpg"",""data_video/review/candidate_frames/vacuum-025/sample_03.jpg"",""data_video/review/candidate_frames/vacuum-025/sample_04.jpg"",""data_video/review/candidate_frames/vacuum-025/sample_05.jpg""]",2026-07-21T11:29:29.441618+00:00,
vacuum-026,Vacuum,Vacuum Packaging Machine.webm,yes,Vacuum,operation,yes,"A person is shown placing a bag of granular material into a stainless steel machine with a hinged lid, which is then closed. The machine has a control panel with a digital display and buttons, and the brand 'Sevana' is visible. This action is consistent with vacuum sealing.",,retain_for_human_review,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/vacuum-026/sample_01.jpg"",""data_video/review/candidate_frames/vacuum-026/sample_02.jpg"",""data_video/review/candidate_frames/vacuum-026/sample_03.jpg"",""data_video/review/candidate_frames/vacuum-026/sample_04.jpg"",""data_video/review/candidate_frames/vacuum-026/sample_05.jpg""]",2026-07-21T11:30:05.832647+00:00,
washing-005,Washing Machine,Bauerntag im Freilichtmuseum Roscheider Hof 2016.webm,no,uncertain,irrelevant,no,"The frames show outdoor scenes at what appears to be a farmers' market or open-air museum event, including people, a beekeeping association stall, a wood-fired stove, and a large perforated metal drum. None of these are household washing machines.",,reject_out_of_scope,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/washing-005/sample_01.jpg"",""data_video/review/candidate_frames/washing-005/sample_02.jpg"",""data_video/review/candidate_frames/washing-005/sample_03.jpg"",""data_video/review/candidate_frames/washing-005/sample_04.jpg"",""data_video/review/candidate_frames/washing-005/sample_05.jpg""]",2026-07-21T11:30:40.071733+00:00,
washing-006,Washing Machine,Crouzet 82432 Timer Motor.webm,no,uncertain,component_overview,no,"A small, circular motor with wires and connectors is shown on a dark surface. The object appears to be a component, possibly from an appliance, but no specific appliance or its operation is visible.",,reject_out_of_scope,Qwen/Qwen3-VL-8B-Instruct,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,candidate-scope-screen-v1,"[""data_video/review/candidate_frames/washing-006/sample_01.jpg"",""data_video/review/candidate_frames/washing-006/sample_02.jpg"",""data_video/review/candidate_frames/washing-006/sample_03.jpg"",""data_video/review/candidate_frames/washing-006/sample_04.jpg"",""data_video/review/candidate_frames/washing-006/sample_05.jpg""]",2026-07-21T11:31:11.199314+00:00,
