query_id,split,product_class,query_type,latency_seconds,answer_nonempty,requested_mode,effective_mode,video_count,citation_count,manual_image_count,all_media_valid,video_intervals_valid,video_citations_resolve,pool_has_direct_video_answer,judge_correctness,judge_evidence_support,judge_video_support,judge_non_hallucination,judge_safety_handling,judge_no_answer_handling,judge_failure_reasons,human_review_required
VQ-001,development,Air Fryer,operation,7.722506,1,tri_hybrid,tri_hybrid,3,0,1,1,1,1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,[],0
VQ-002,development,Air Fryer,operation,6.408338,1,tri_hybrid,tri_hybrid,3,4,2,1,1,1,1,0.900000,0.850000,1.000000,0.900000,1.000000,1.000000,"[""The answer includes specific instructions ('Remove the pan... by pulling the handle', 'Do not exceed... MAX indication') that are not explicitly present in the provided `structured_evidence` excerpts, although they are standard operational steps supported by the `video_pool_has_direct_answer` flag and general manual context implied by the query type."", ""The `structured_evidence` provided contains fragmented text (cleaning tips, display info) that does not directly support the step-by-step loading instructions given in the answer, creating a slight disconnect between the specific text evidence provided and the generated answer content, despite the video evidence being strong.""]",1
VQ-003,development,Air Fryer,operation,8.777582,1,tri_hybrid,tri_hybrid,3,0,5,1,1,1,1,0.400000,0.300000,0.200000,0.500000,1.000000,0.000000,"[""The answer provides detailed instructions for starting the air fryer (pressing power, setting temp/time) which are not supported by the visual evidence."", ""Human relevance notes explicitly state that no start button, display operation, or confirmation of running is visible in the video frames."", ""The video only demonstrates the 're-insertion of the basket' part of the query, failing to provide visual evidence for the 'start' part."", ""The answer hallucinates specific UI interactions (temperature/time buttons) not present in the provided evidence.""]",1
VQ-004,development,Air Fryer,state,7.948193,1,tri_hybrid,tri_hybrid,3,4,1,1,1,1,1,1.000000,1.000000,0.800000,1.000000,1.000000,1.000000,[],0
VQ-005,development,Air Fryer,state,36.623527,1,tri_hybrid,tri_hybrid,3,0,1,1,1,1,1,0.200000,0.100000,0.000000,0.300000,1.000000,0.000000,"[""The answer describes specific display behaviors (alternating temperature/time, countdown) and app integration that are not present in the provided structured_evidence or human_relevance_notes."", ""The provided evidence indicates the video shows food being flipped, closed appliance shots, or finished products, but does not confirm the specific UI behavior described in the answer."", ""The answer relies on external manual knowledge ([\""Manual08_10\""]) rather than the supplied video evidence, violating the instruction to evaluate only against supplied evidence."", ""The answer fails to address the visual cues actually present in the evidence notes (e.g., flipping action, text overlays like 'FLIP AND COOK').""]",1
VQ-006,development,Air Fryer,state,6.549037,1,tri_hybrid,tri_hybrid,3,4,1,1,1,1,1,0.900000,0.850000,0.900000,0.800000,1.000000,1.000000,"[""The answer claims the screen displays settings/status during operation based on a generic manual citation ('Manual08_0') and a placeholder '<PIC>', which is not present in the provided structured evidence excerpts. The specific video evidence (airfryer-024) supports the 'auto shut-off' aspect via ASR and OCR overlays, but does not explicitly show the standard control panel display behavior described in the second half of the answer.""]",1
VQ-007,development,Air Fryer,component,8.403413,1,tri_hybrid,tri_hybrid,3,4,1,1,1,1,1,1.000000,1.000000,0.300000,1.000000,1.000000,0.000000,"[""The answer claims the video demonstrates the location of both the basket and the oil tray (pan), but the human relevance notes explicitly state that the oil tray is not visible in any frame."", ""The visual evidence provided only supports the location/removal of the basket, failing to support the full scope of the query regarding the 'oil tray' as claimed by the answer's reference to the video.""]",1
VQ-008,development,Air Fryer,component,36.375919,1,tri_hybrid,tri_hybrid,3,4,1,1,1,1,1,0.900000,1.000000,0.800000,1.000000,1.000000,1.000000,[],0
VQ-009,development,Air Fryer,component,5.313418,1,tri_hybrid,tri_hybrid,3,0,2,1,1,1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,[],0
VQ-010,development,Air Fryer,maintenance,8.204819,1,tri_hybrid,tri_hybrid,3,5,1,1,1,1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,[],0
VQ-011,source_disjoint_test,Air Fryer,maintenance,9.663667,1,tri_hybrid,tri_hybrid,3,3,1,1,1,1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,[],0
