query_id,query_text,language,product_class,query_type,split,candidate_scene_id,record_id,scene_product_class,start_seconds,end_seconds,clip_path,thumbnail_path,scene_text,source_methods,method_ranks_json,method_scores_json,blind_order
VQ-001,空气炸锅怎样设置烹饪温度和时间？,zh-CN,Air Fryer,operation,development,airfryer-005-scene-0021,airfryer-005,Air Fryer,202.502,207.465,data_video/processed/airfryer-005/clips/airfryer-005-scene-0021.mp4,data_video/keyframes/airfryer-005/frame_000040.jpg,"ASR: air fryer, the basket goes and then we set the temperature
VLM: Visual summary: A person is placing an air fryer basket containing food into an air fryer appliance on a white countertop.
视觉摘要: 一个人将装有食物的空气炸锅篮子放入空气炸锅中，置于白色台面上。
Visible product: Air Fryer
Visible components: air fryer basket; air fryer appliance; white countertop; white cutting board; glass bowl; eggshells
Visible actions: placing air fryer basket into air fryer appliance",bm25|hybrid|tri_hybrid,"{""bm25"": 13, ""hybrid"": 8, ""tri_hybrid"": 10}","{""bm25"": {""bm25_score"": 3.559283, ""dense_score"": null, ""effective_mode"": ""bm25"", ""score"": 3.559283, ""visual_score"": null}, ""hybrid"": {""bm25_score"": 3.559283, ""dense_score"": 0.597695, ""effective_mode"": ""hybrid"", ""score"": 0.011402, ""visual_score"": null}, ""tri_hybrid"": {""bm25_score"": 3.559283, ""dense_score"": 0.597695, ""effective_mode"": ""tri_hybrid"", ""score"": 0.010604, ""visual_score"": 0.528301}}",1
VQ-001,空气炸锅怎样设置烹饪温度和时间？,zh-CN,Air Fryer,operation,development,pressure-006-scene-0005,pressure-006,Air Fryer,15.083,17.625,data_video/processed/pressure-006/clips/pressure-006-scene-0005.mp4,data_video/keyframes/pressure-006/frame_000003.jpg,"ASR: • Touch screen control, LCD display, visual window, cooking process at a glance
VLM: Visual summary: A close-up of a yellow and black air fryer with a digital display and touch controls, showing food inside the basket.
视觉摘要: 一台黄黑相间的空气炸锅特写，配有数字显示屏和触控按钮，锅内可见食物。
Visible product: Air Fryer
Visible components: digital display; touch controls; food inside basket; yellow and black casing",bm25|visual,"{""bm25"": 16, ""visual"": 7}","{""bm25"": {""bm25_score"": 3.520697, ""dense_score"": null, ""effective_mode"": ""bm25"", ""score"": 3.520697, ""visual_score"": null}, ""visual"": {""bm25_score"": 3.520697, ""dense_score"": null, ""effective_mode"": ""visual"", ""score"": 0.624309, ""visual_score"": 0.624309}}",2
VQ-001,空气炸锅怎样设置烹饪温度和时间？,zh-CN,Air Fryer,operation,development,airfryer-011-scene-0001,airfryer-011,Air Fryer,0.0,107.95,data_video/processed/airfryer-011/clips/airfryer-011-scene-0001.mp4,data_video/keyframes/airfryer-011/frame_000000.jpg,"ASR: Hi, welcome back to Montana, and today we're going to be making another one of my favorite air fryer recipes, grilled cheese. The ingredients are white bread, salted butter, sharp cheddar cheese, and Italian blend cheese. Your first step is to add some of your cheddar into the middle of your bread, and then sprinkle some Italian blend on top. Then butter the exterior of your bread. Put your grilled cheese inside of your air fryer, and then cook for four minutes. Now flip it over and then cook for another three minutes. Now that the three minutes is up, take it out of the air fryer, cut it, and give it a try.
OCR: That's Good! WITH MONTANA MONTEREY play! RECREATION NG 5<S HONTEREY BINGA ISUR VF 2000 CA QUAS IONTEREY DECREATION BINCNAE 1SUS VIV ). 2021 ONTREY DECRATION DA REC ONTEREY ECREATION /V 20MON REC MONNEY A RECR TION 202 252 MO DA RE 1S8V 2120 BREC 2n2 MON MONTREYY DA Air Fryer Grilled Cheese 2 slices white bread Sharp Cheddar & Italian Blend Cheeses Salted butter X #showushowyouplayMonterey
VLM: Visual summary: A young man in a kitchen prepares to make a grilled cheese sandwich using an air fryer.
视觉摘要: 一名年轻男子在厨房里准备使用空气炸锅制作烤奶酪三明治。
Visible product: Air Fryer
Visible components: air fryer; refrigerator; wooden cabinets; countertop; knife block; coffee maker; glass jars; mug; red cutting board; bread; apron
Visible actions: man standing; man handling bread",visual,"{""visual"": 20}","{""visual"": {""bm25_score"": 3.400216, ""dense_score"": null, ""effective_mode"": ""visual"", ""score"": 0.467903, ""visual_score"": 0.467903}}",3
VQ-001,空气炸锅怎样设置烹饪温度和时间？,zh-CN,Air Fryer,operation,development,airfryer-029-scene-0066,airfryer-029,Air Fryer,403.92,405.96,data_video/processed/airfryer-029/clips/airfryer-029-scene-0066.mp4,data_video/keyframes/airfryer-029/frame_000080.jpg,"ASR: also the chicken will be cooked perfectly. This awesome-looking Philips
OCR: Philips SUPER CHEF
VLM: Visual summary: A close-up of a black Philips air fryer showing its temperature dial and timer dial.
视觉摘要: 一台黑色飞利浦空气炸锅的特写，显示其温度旋钮和计时旋钮。
Visible product: Philips
Visible components: temperature dial; timer dial; brand logo; control knobs",bm25|hybrid|tri_hybrid,"{""bm25"": 4, ""hybrid"": 6, ""tri_hybrid"": 6}","{""bm25"": {""bm25_score"": 9.839537, ""dense_score"": null, ""effective_mode"": ""bm25"", ""score"": 9.839537, ""visual_score"": null}, ""hybrid"": {""bm25_score"": 9.839537, ""dense_score"": 0.638249, ""effective_mode"": ""hybrid"", ""score"": 0.014356, ""visual_score"": null}, ""tri_hybrid"": {""bm25_score"": 9.839537, ""dense_score"": 0.638249, ""effective_mode"": ""tri_hybrid"", ""score"": 0.013234, ""visual_score"": 0.551148}}",4
VQ-001,空气炸锅怎样设置烹饪温度和时间？,zh-CN,Air Fryer,operation,development,airfryer-005-scene-0022,airfryer-005,Air Fryer,207.465,227.314,data_video/processed/airfryer-005/clips/airfryer-005-scene-0022.mp4,data_video/keyframes/airfryer-005/frame_000041.jpg,"ASR: air fryer, the basket goes and then we set the temperature to 350 Fahrenheit and then we just turn it on for 10 minutes and that's it and let it do its thing. And when the timer goes off, you can take it out and look
VLM: Visual summary: A man in a kitchen stands behind a black air fryer on a countertop, gesturing and speaking to the camera.
视觉摘要: 一名男子站在厨房的台面上，身后放着一台黑色空气炸锅，他正对着镜头做手势说话。
Visible product: Air Fryer
Visible components: black air fryer; stainless steel refrigerator; white kitchen cabinets; glass jars; knife block; paper towel holder; whey protein container; blue funnel
Visible actions: man gesturing with hands; man speaking",dense|hybrid,"{""dense"": 8, ""hybrid"": 12}","{""dense"": {""bm25_score"": 3.474833, ""dense_score"": 0.655601, ""effective_mode"": ""dense"", ""score"": 0.655601, ""visual_score"": null}, ""hybrid"": {""bm25_score"": 3.474833, ""dense_score"": 0.655601, ""effective_mode"": ""hybrid"", ""score"": 0.009471, ""visual_score"": null}}",5
VQ-001,空气炸锅怎样设置烹饪温度和时间？,zh-CN,Air Fryer,operation,development,airfryer-027-scene-0002,airfryer-027,Air Fryer,7.508,283.4,data_video/processed/airfryer-027/clips/airfryer-027-scene-0002.mp4,data_video/keyframes/airfryer-027/frame_000001.jpg,"ASR: Okay, so first we coat the wings with baking powder, some kosher salt, and a little bit of garlic powder. And we're going to preheat the oven to 450 degrees. So after 25 minutes, we're going to take these, flip them over. And of course, with the traditional version of the oven, we're going to provide some Frank's Red Hot Sauce. real deal butter and a touch of brown sugar and that's what we're gonna of course toss our wings into and for the other wings we're going to use McCormick's air fryer buffalo wings and it supposedly has some kind of authentic Frank's red hot sauce obviously dehydrated powder and we're going to cover these and of course this takes about half the time of the oven-cooked ones and we got our air-fried version here toss with oil and the seasoning the cormac seasoning we're going to throw these babies in here doesn't seem to really cope very well honestly but turn a reminder whoops 20 20 minutes, see what happens. Okay, so here we are. There are two different versions of so-called buffalo wings. On the top we have the oven-baked version, the real Frank's hot sauce, and on the bottom we have the McCormick air fryer version. See, they look completely different. So let's try the oven-baked version first. Nothing like that real French hot sauce with butter or brown sugar. Mmm, very good. A little bit dry, but that's because these are small wings. I would have cooked them a little bit less than 50 minutes, maybe 40 minutes. Not bad. Okay, let's try the air fryer wings. Here we go. Now, in this case, I'm definitely going to dip these in a little bit of ranch dressing here. Let's check it out. Whoops. It's actually not bad. Very tasty. And since it's air fried, it's more, it seems to be evenly cooked. So for all you Buffalo Wing fans out there, the reality is the best Buffalo Wings are deep fried in a deep fryer just like they were when I grew up in Buffalo in the 1970s and tossed in Frank's hot sauce with a bit of butter and as much sugar as you want so sorry health food fans but honestly the air fryer and baked versions they're okay it tastes good but it's not like the original.
OCR: WRONRSSH and bake for another 20 minutes OVEN READY McCormick AIR FRYER Buffalo RedHot m AIR FRYER FRANK: NO ARTIFICIAL FLAYORS Esenti MCCORNICE SPICES NO ARTIRICIAL FLAPORS VEN EADY ER Talo table Oil TART courmia Gourmia 3808 * courmia. GOr START 89:39
VLM: Visual summary: Chicken wings are shown cooking on a wire rack over aluminum foil on a stovetop, then plated with a dipping sauce.
视觉摘要: 鸡翅在炉灶上的烤架上烹饪，然后盛放在盘子中，配有一份蘸酱。
Visible product: Air Fryer
Visible components: stovetop; gas burner grates; wire rack; aluminum foil; plate; glass cup; black and white checkered tablecloth
Visible actions: chicken wings are cooking; a man is speaking to the camera
Visible states: chicken wings are cooked and golden brown; dipping sauce is on the plate
Visual uncertainty: The specific product being referred to as 'Air Fryer' is not visible in the frames.",bm25|hybrid|tri_hybrid|visual,"{""bm25"": 12, ""hybrid"": 20, ""tri_hybrid"": 20, ""visual"": 19}","{""bm25"": {""bm25_score"": 3.744366, ""dense_score"": null, ""effective_mode"": ""bm25"", ""score"": 3.744366, ""visual_score"": null}, ""hybrid"": {""bm25_score"": 3.744366, ""dense_score"": 0.488692, ""effective_mode"": ""hybrid"", ""score"": 0.006568, ""visual_score"": null}, ""tri_hybrid"": {""bm25_score"": 3.744366, ""dense_score"": 0.488692, ""effective_mode"": ""tri_hybrid"", ""score"": 0.00619, ""visual_score"": 0.47137}, ""visual"": {""bm25_score"": 3.744366, ""dense_score"": null, ""effective_mode"": ""visual"", ""score"": 0.47137, ""visual_score"": 0.47137}}",6
VQ-001,空气炸锅怎样设置烹饪温度和时间？,zh-CN,Air Fryer,operation,development,airfryer-029-scene-0055,airfryer-029,Air Fryer,324.32,326.44,data_video/processed/airfryer-029/clips/airfryer-029-scene-0055.mp4,data_video/keyframes/airfryer-029/frame_000064.jpg,"ASR: degree centigrade for around 10 minutes using Philips air fryer anybody can cook
OCR: PHILIPS SUPER CHEF
VLM: Visual summary: A close-up of a black Philips air fryer showing its control dial and cooking guide label.
视觉摘要: 一台黑色飞利浦空气炸锅的特写，显示其控制旋钮和烹饪指南标签。
Visible product: Air Fryer
Visible components: control dial; brand name 'PHILIPS'; cooking guide label with temperature and time icons; temperature indicator (200°C)",bm25|dense|hybrid|tri_hybrid|visual,"{""bm25"": 10, ""dense"": 3, ""hybrid"": 5, ""tri_hybrid"": 2, ""visual"": 3}","{""bm25"": {""bm25_score"": 4.879675, ""dense_score"": null, ""effective_mode"": ""bm25"", ""score"": 4.879675, ""visual_score"": null}, ""dense"": {""bm25_score"": 4.879675, ""dense_score"": 0.688077, ""effective_mode"": ""dense"", ""score"": 0.688077, ""visual_score"": null}, ""hybrid"": {""bm25_score"": 4.879675, ""dense_score"": 0.688077, ""effective_mode"": ""hybrid"", ""score"": 0.014811, ""visual_score"": null}, ""tri_hybrid"": {""bm25_score"": 4.879675, ""dense_score"": 0.688077, ""effective_mode"": ""tri_hybrid"", ""score"": 0.015165, ""visual_score"": 0.635051}, ""visual"": {""bm25_score"": 4.879675, ""dense_score"": null, ""effective_mode"": ""visual"", ""score"": 0.635051, ""visual_score"": 0.635051}}",7
VQ-001,空气炸锅怎样设置烹饪温度和时间？,zh-CN,Air Fryer,operation,development,airfryer-017-scene-0101,airfryer-017,Air Fryer,1370.736,1398.664,data_video/processed/airfryer-017/clips/airfryer-017-scene-0101.mp4,data_video/keyframes/airfryer-017/frame_000274.jpg,"ASR: Now I'm going to do something. I don't know if this is safe, so don't try this at home, but before I reassemble this entire unit, I'm going to take my two power cords. I'm gonna plug them back into my switch and I'm gonna plug the unit back into the wall See if I can power this thing on just to make sure it's working before I spend all the time to screw everything back together And moment of truth as power it's giving me an e1 message, but I already know what it means It means that I forgot to plug the thermistor back into the circuit panel
OCR: 3 11 UNIT APROFESSIONA 18 I'M NOT DON'T TRY THIS AT HOMI COUNT 19
VLM: Visual summary: A disassembled black appliance, labeled as an air fryer, is on a table with a person's hand interacting with its internal wiring and components. Tools and paper are scattered around.
视觉摘要: 一台被拆开的黑色空气炸锅放在桌子上，一个人的手正在操作其内部的电线和部件，周围散落着工具和纸张。
Visible product: Air Fryer
Visible components: black appliance chassis; internal wiring; small circuit board; fan; control panel; screwdriver; pliers; paper; cardboard box
Visible actions: hand holding wires; hand manipulating a wire connector
Visible states: appliance disassembled; control panel lit with blue display
Visible warnings: I'M NOT A PROFESSIONAL. DON'T TRY THIS AT HOME.",dense,"{""dense"": 17}","{""dense"": {""bm25_score"": 3.395011, ""dense_score"": 0.572444, ""effective_mode"": ""dense"", ""score"": 0.572444, ""visual_score"": null}}",8
VQ-001,空气炸锅怎样设置烹饪温度和时间？,zh-CN,Air Fryer,operation,development,airfryer-002-scene-0001,airfryer-002,Air Fryer,0.0,11.044,data_video/processed/airfryer-002/clips/airfryer-002-scene-0001.mp4,data_video/keyframes/airfryer-002/frame_000000.jpg,"OCR: The Library Kitchen Lärary Kiehen Air I Fryer Oreos www.gloucesterva.info/publiclibrary Chef Library Kitchen Puff Pastry SHEETS OREO
VLM: Visual summary: Three powdered pastries are on a white plate with a fork, overlaid with text identifying the content as 'The Library Kitchen' and 'Air Fryer Oreos'.
视觉摘要: 白色盘子上有三个撒了粉的糕点，旁边放着一把叉子，叠加的文字显示内容为“图书馆厨房”和“空气炸锅奥利奥”。
Visible product: Air Fryer Oreos
Visible components: white plate; fork; pastries; powder; text overlay",bm25,"{""bm25"": 17}","{""bm25"": {""bm25_score"": 3.502478, ""dense_score"": null, ""effective_mode"": ""bm25"", ""score"": 3.502478, ""visual_score"": null}}",9
VQ-001,空气炸锅怎样设置烹饪温度和时间？,zh-CN,Air Fryer,operation,development,airfryer-024-scene-0020,airfryer-024,Air Fryer,85.852,93.56,data_video/processed/airfryer-024/clips/airfryer-024-scene-0020.mp4,data_video/keyframes/airfryer-024/frame_000017.jpg,"ASR: Why settle for inaccurate knobs and analog dials? Just guessing. The New Wave Brio is the only air fryer with precise temperature control. Simply use the digital touchscreen and cook from 100 degrees to 400 degrees in 5 degree increments.
OCR: PRECISE nuwave Temperature 360Y 360F 3007 Control 3 756 TM
VLM: Visual summary: A hand is shown adjusting a dial on a kitchen appliance, followed by a finger pressing buttons on a digital air fryer control panel.
视觉摘要: 一只手正在调整厨房电器上的旋钮，随后手指按压空气炸锅控制面板上的按钮。
Visible product: nuwave
Visible components: hand; dial; air fryer; digital display; control buttons; temperature settings; food icons
Visible actions: adjusting a dial; pressing a button
Visible states: digital display showing 375F; dial set to 5",visual,"{""visual"": 1}","{""visual"": {""bm25_score"": 3.470401, ""dense_score"": null, ""effective_mode"": ""visual"", ""score"": 0.700518, ""visual_score"": 0.700518}}",10
