record_id,review_scope,ai_expected_product_class,ai_predicted_product_class,title,source_platform,source_page_url,creator,license_id,candidate_split,technical_decision,ai_decision,ai_procedure_relevance,ai_functional_step_visible,ai_visual_evidence,ai_uncertainty,sample_frame_paths,review_priority,prescreen_flags,reviewer_id,review_status,license_evidence_status,corrected_product_class,corrected_procedure_relevance,corrected_functional_step_visible,privacy_risk,safety_risk,correction_reason,final_decision,dataset_split,reviewed_at
espresso-019,full_positive_review,Espresso Machine,Espresso Machine,Saeco espresso machine,Internet Archive,https://archive.org/details/SaecoEspressoMachine_201708,Archive contributor,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,promotion,no,"Frame 1 shows a cup of espresso surrounded by coffee beans with text 'Espresso machine for commercial and residential use..'. Frames 3 and 4 mention 'Anthony's Espresso Equip. Inc.' and 'for all your espresso needs', indicating a promotional context for espresso equipment.",,data_video/review/archive_candidate_frames/espresso-019/sample_01.jpg|data_video/review/archive_candidate_frames/espresso-019/sample_02.jpg|data_video/review/archive_candidate_frames/espresso-019/sample_03.jpg|data_video/review/archive_candidate_frames/espresso-019/sample_04.jpg|data_video/review/archive_candidate_frames/espresso-019/sample_05.jpg,high,no_visible_functional_step,R1,pending,pending,,,,,,,pending,pending,
espresso-021,full_positive_review,Espresso Machine,,Original Espresso Machine Co. Espresso Machine Training DVD!,Internet Archive,https://archive.org/details/original-espresso-machine-co.-espresso-machine-training-dvd,Grayson Millar,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,manual_review,,,,,data_video/review/archive_candidate_frames/espresso-021/sample_01.jpg|data_video/review/archive_candidate_frames/espresso-021/sample_02.jpg|data_video/review/archive_candidate_frames/espresso-021/sample_03.jpg|data_video/review/archive_candidate_frames/espresso-021/sample_04.jpg|data_video/review/archive_candidate_frames/espresso-021/sample_05.jpg,high,predicted_class_mismatch|no_visible_functional_step,R1,pending,pending,,,,,,,pending,pending,
pressure-022,full_positive_review,Pressure Cooker,Pressure Cooker,Cook Faster With The Best Pressure Cooker By Decent Cookware,Internet Archive,https://archive.org/details/cook-faster-with-the-best-pressure-cooker-by-decent-cookware,Archive contributor,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,promotion,no,"Five frames display different models of Decent Pressure Cookers, highlighting features like 'Hard Anodised' and 'Made to Last', along with contact information and online availability. No operational steps are shown.",,data_video/review/archive_candidate_frames/pressure-022/sample_01.jpg|data_video/review/archive_candidate_frames/pressure-022/sample_02.jpg|data_video/review/archive_candidate_frames/pressure-022/sample_03.jpg|data_video/review/archive_candidate_frames/pressure-022/sample_04.jpg|data_video/review/archive_candidate_frames/pressure-022/sample_05.jpg,high,no_visible_functional_step,R1,pending,pending,,,,,,,pending,pending,
pressure-030,full_positive_review,Pressure Cooker,Pressure Cooker,Geek Robocook Electric Pressure Cooker,Internet Archive,https://archive.org/details/robocook-pdf,Archive contributor,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,promotion,no,"The frames display an electric pressure cooker (Geek Robocook) with visible controls, lid components, and text describing its features like 'PIC Technology' and '11-in-1 Electric Pressure Cooker'. It is marketed as a replacement for traditional pressure cookers and kadai.",,data_video/review/archive_candidate_frames/pressure-030/sample_01.jpg|data_video/review/archive_candidate_frames/pressure-030/sample_02.jpg|data_video/review/archive_candidate_frames/pressure-030/sample_03.jpg|data_video/review/archive_candidate_frames/pressure-030/sample_04.jpg|data_video/review/archive_candidate_frames/pressure-030/sample_05.jpg,high,no_visible_functional_step,R1,pending,pending,,,,,,,pending,pending,
pressure-031,full_positive_review,Pressure Cooker,Pressure Cooker,"Cook More, Effortlessly With The Big Pressure Cooker By Decent Cookware",Internet Archive,https://archive.org/details/cook-more-effortlessly-with-the-big-pressure-cooker-by-decent-cookware,Archive contributor,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,component_overview,no,"The frames display a stainless steel pressure cooker with a lid, safety valve, and handles. The brand 'DECENT Pressure Cooker' is visible. Text overlays mention cooking results like 'Fluffy rice. Tender veggies. Juicy curries.' and 'cook fast. Eat fresh. Choose Decent Cookware.', indicating a promotional context.",,data_video/review/archive_candidate_frames/pressure-031/sample_01.jpg|data_video/review/archive_candidate_frames/pressure-031/sample_02.jpg|data_video/review/archive_candidate_frames/pressure-031/sample_03.jpg|data_video/review/archive_candidate_frames/pressure-031/sample_04.jpg|data_video/review/archive_candidate_frames/pressure-031/sample_05.jpg,high,no_visible_functional_step,R1,pending,pending,,,,,,,pending,pending,
vacuum-031,full_positive_review,Vacuum,Vacuum,“PITCH PLANT PROFIT” 1950’S SEARS & ROEBUCK VACUUM CLEANER SALESMAN PITCH TRAINING FILM 87054,Internet Archive,https://archive.org/details/87054-pitch-plant-profit,PeriscopeFilm,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,promotion,no,"Frame 2 shows a man in a suit holding a vacuum cleaner and interacting with a customer at a counter. The vacuum cleaner is visible behind him, and signage for 'Kenmore' and 'Combination' is visible, indicating a sales or demonstration context.",,data_video/review/archive_candidate_frames/vacuum-031/sample_01.jpg|data_video/review/archive_candidate_frames/vacuum-031/sample_02.jpg|data_video/review/archive_candidate_frames/vacuum-031/sample_03.jpg|data_video/review/archive_candidate_frames/vacuum-031/sample_04.jpg|data_video/review/archive_candidate_frames/vacuum-031/sample_05.jpg,high,no_visible_functional_step,R1,pending,pending,,,,,,,pending,pending,
vacuum-045,full_positive_review,Vacuum,Vacuum,Up to 60 minutes of cleaning on one charge | The new Samsung Jet™ Vacuum Cleaner,Internet Archive,https://archive.org/details/youtube-od-SDectzW8,Samsung India,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,component_overview,no,"Frames show a handheld vacuum cleaner (Samsung Jet™ Jet 75) with its battery pack, various attachments, and a claim of 60 minutes runtime. The product is clearly identifiable as a vacuum cleaner.",,data_video/review/archive_candidate_frames/vacuum-045/sample_01.jpg|data_video/review/archive_candidate_frames/vacuum-045/sample_02.jpg|data_video/review/archive_candidate_frames/vacuum-045/sample_03.jpg|data_video/review/archive_candidate_frames/vacuum-045/sample_04.jpg|data_video/review/archive_candidate_frames/vacuum-045/sample_05.jpg,high,no_visible_functional_step,R1,pending,pending,,,,,,,pending,pending,
vacuum-054,full_positive_review,Vacuum,Vacuum,Samsung Vacuum Cleaner Range Explained | Samsung UK,Internet Archive,https://archive.org/details/youtube-zNJCvk5Nu9A,Samsung UK,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,promotion,no,"The frames display a range of vacuum cleaners (Jet 60, Jet 70, Jet 75, Jet 90, Jet Bot, JetBot+, JetBot AI+) and show a presenter interacting with them, indicating a product showcase or advertisement.",,data_video/review/archive_candidate_frames/vacuum-054/sample_01.jpg|data_video/review/archive_candidate_frames/vacuum-054/sample_02.jpg|data_video/review/archive_candidate_frames/vacuum-054/sample_03.jpg|data_video/review/archive_candidate_frames/vacuum-054/sample_04.jpg|data_video/review/archive_candidate_frames/vacuum-054/sample_05.jpg,high,no_visible_functional_step,R1,pending,pending,,,,,,,pending,pending,
vacuum-056,full_positive_review,Vacuum,Vacuum,Samsung Jet™ Vacuum Cleaner - the perfectly designed cleaning solution for your home,Internet Archive,https://archive.org/details/youtube-o-_MYHj_Wog,Samsung India,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,component_overview,no,"The frames show a sleek, modern vacuum cleaner with a transparent dustbin, a long wand, and various attachments. Text overlays highlight its cleaning capabilities and introduce it as the 'Samsung Jet™ Jet 75'.",,data_video/review/archive_candidate_frames/vacuum-056/sample_01.jpg|data_video/review/archive_candidate_frames/vacuum-056/sample_02.jpg|data_video/review/archive_candidate_frames/vacuum-056/sample_03.jpg|data_video/review/archive_candidate_frames/vacuum-056/sample_04.jpg|data_video/review/archive_candidate_frames/vacuum-056/sample_05.jpg,high,no_visible_functional_step,R1,pending,pending,,,,,,,pending,pending,
vacuum-061,full_positive_review,Vacuum,Vacuum,[Samsung Core Tech] Vacuum Cleaner: Powerful Cleaning l Samsung,Internet Archive,https://archive.org/details/youtube-XABScGX-Mg8,Samsung,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,component_overview,no,"Frames show close-ups of vacuum cleaner components: dust on carpet, jet cyclone system, high-speed motor, and battery life indicator. Text overlays describe features like 'Jet Cyclone', 'Rotates 132,000 rpm', and 'Cleans up to 100 minutes on one battery'.",,data_video/review/archive_candidate_frames/vacuum-061/sample_01.jpg|data_video/review/archive_candidate_frames/vacuum-061/sample_02.jpg|data_video/review/archive_candidate_frames/vacuum-061/sample_03.jpg|data_video/review/archive_candidate_frames/vacuum-061/sample_04.jpg|data_video/review/archive_candidate_frames/vacuum-061/sample_05.jpg,high,no_visible_functional_step,R1,pending,pending,,,,,,,pending,pending,
washing-033,full_positive_review,Washing Machine,Washing Machine,1965 commercial for Westinghouse Heavy Duty 15 washing machine,Internet Archive,https://archive.org/details/westinghouse1965,Archive contributor,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,promotion,no,"A white, top-loading washing machine is prominently displayed in a showroom setting with a 'Westinghouse' sign. Two women and a man are interacting with the appliance, with the man gesturing toward it. A wine glass is placed on top of the machine, suggesting a demonstration or promotional context.",,data_video/review/archive_candidate_frames/washing-033/sample_01.jpg|data_video/review/archive_candidate_frames/washing-033/sample_02.jpg|data_video/review/archive_candidate_frames/washing-033/sample_03.jpg|data_video/review/archive_candidate_frames/washing-033/sample_04.jpg|data_video/review/archive_candidate_frames/washing-033/sample_05.jpg,high,no_visible_functional_step,R1,pending,pending,,,,,,,pending,pending,
washing-038,full_positive_review,Washing Machine,Washing Machine,#Washing #machine tearing itself apart. It's not #StopMotion - this is #realtime #loops - why u don't put shoes or #engines in there -MUOu1qqbqDx.mp4 Washing machine tearing itself apart Its not StopMotion this is realtime loops why u dont put shoes or engines in there MUOu1qqbqDx mp4 Washing machine StopMotion realtime loops engines,Internet Archive,https://archive.org/details/WashingMachineTearingItselfApartItsNotStopmotionThisIsRealtimeLoopsWhyUDontPut,Kenneth Udut,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,irrelevant,no,"A white front-loading washing machine is shown outdoors on a wooden platform, with its door open and internal components visible. The machine appears damaged or disassembled, with parts missing or broken. Two vehicles are visible in the background.",,data_video/review/archive_candidate_frames/washing-038/sample_01.jpg|data_video/review/archive_candidate_frames/washing-038/sample_02.jpg|data_video/review/archive_candidate_frames/washing-038/sample_03.jpg|data_video/review/archive_candidate_frames/washing-038/sample_04.jpg|data_video/review/archive_candidate_frames/washing-038/sample_05.jpg,high,no_visible_functional_step,R1,pending,pending,,,,,,,pending,pending,
washing-040,full_positive_review,Washing Machine,Washing Machine,Comet Sense Hotpoint Washing Machine Advert,Internet Archive,https://archive.org/details/comet-sense-hotpoint-washing-machine-advert,Comet,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,promotion,no,"A white Hotpoint washing machine is prominently displayed in a living room setting, with its price (£249.99) overlaid on the image. The machine is shown as a static product shot, not in operation or setup.",,data_video/review/archive_candidate_frames/washing-040/sample_01.jpg|data_video/review/archive_candidate_frames/washing-040/sample_02.jpg|data_video/review/archive_candidate_frames/washing-040/sample_03.jpg|data_video/review/archive_candidate_frames/washing-040/sample_04.jpg|data_video/review/archive_candidate_frames/washing-040/sample_05.jpg,high,no_visible_functional_step,R1,pending,pending,,,,,,,pending,pending,
washing-043,full_positive_review,Washing Machine,Washing Machine,Easy washing machine commercial from 1955,Internet Archive,https://archive.org/details/easyWashingMachineCommercialFrom1955,Archive contributor,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,promotion,no,"Frames show a top-loading washing machine, its internal agitator, and text advertising 'EASY AUTOMATIC WASHER' and 'Anything that you can wash... EASY does it... better!'.",,data_video/review/archive_candidate_frames/washing-043/sample_01.jpg|data_video/review/archive_candidate_frames/washing-043/sample_02.jpg|data_video/review/archive_candidate_frames/washing-043/sample_03.jpg|data_video/review/archive_candidate_frames/washing-043/sample_04.jpg|data_video/review/archive_candidate_frames/washing-043/sample_05.jpg,high,no_visible_functional_step,R1,pending,pending,,,,,,,pending,pending,
washing-045,full_positive_review,Washing Machine,Washing Machine,Galamatic Delux Washing Machine 1965 TV Commercial,Internet Archive,https://archive.org/details/GalamaticDeluxWashingMachine1965TVCommercialXvid,Archive contributor,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,promotion,no,"Frames show a top-loading washing machine with cartoon characters and text overlays promoting features like 'no tangle action' and 'traps fluff and lint'. The machine is shown in operation and with its lid open, but no specific operational steps are demonstrated.",,data_video/review/archive_candidate_frames/washing-045/sample_01.jpg|data_video/review/archive_candidate_frames/washing-045/sample_02.jpg|data_video/review/archive_candidate_frames/washing-045/sample_03.jpg|data_video/review/archive_candidate_frames/washing-045/sample_04.jpg|data_video/review/archive_candidate_frames/washing-045/sample_05.jpg,high,no_visible_functional_step,R1,pending,pending,,,,,,,pending,pending,
washing-053,full_positive_review,Washing Machine,Washing Machine,Nearby Washing Machine Repair Service,Internet Archive,https://archive.org/details/httpsnearbywashingmachinerepair.in,Archive contributor,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,promotion,no,"The video frames display a service advertisement for 'Nearby Washing Machine Repair Service', listing services like diagnostics, part replacements, and maintenance, along with contact information. The visual content is promotional, not instructional.",,data_video/review/archive_candidate_frames/washing-053/sample_01.jpg|data_video/review/archive_candidate_frames/washing-053/sample_02.jpg|data_video/review/archive_candidate_frames/washing-053/sample_03.jpg|data_video/review/archive_candidate_frames/washing-053/sample_04.jpg|data_video/review/archive_candidate_frames/washing-053/sample_05.jpg,high,no_visible_functional_step,R1,pending,pending,,,,,,,pending,pending,
washing-059,full_positive_review,Washing Machine,Washing Machine,LG Washer and Dryer - Child Lock,Internet Archive,https://archive.org/details/youtube-yz6PV8O5C2s,LG USA,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,component_overview,no,"The frames show a control panel with a rotary dial for wash cycles (e.g., 'STEAM CYCLE', 'HEAVY DUTY', 'DELICATES') and a digital display with buttons for settings like 'COLD WASH', 'DELAY WASH', and 'TEMP'. The LG logo and 'TrueBalance' technology are visible, consistent with a washing machine interface.",,data_video/review/archive_candidate_frames/washing-059/sample_01.jpg|data_video/review/archive_candidate_frames/washing-059/sample_02.jpg|data_video/review/archive_candidate_frames/washing-059/sample_03.jpg|data_video/review/archive_candidate_frames/washing-059/sample_04.jpg|data_video/review/archive_candidate_frames/washing-059/sample_05.jpg,high,no_visible_functional_step,R1,pending,pending,,,,,,,pending,pending,
airfryer-017,full_positive_review,Air Fryer,Air Fryer,Can I actually fix my kitchen air fryer?,Internet Archive,https://archive.org/details/youtube-3emzRi3gdiQ,FanboyFilms2,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,maintenance,yes,"Frames show disassembly of a black appliance with a vented base, internal heating element, and wiring, consistent with an air fryer being repaired or maintained.",,data_video/review/archive_candidate_frames/airfryer-017/sample_01.jpg|data_video/review/archive_candidate_frames/airfryer-017/sample_02.jpg|data_video/review/archive_candidate_frames/airfryer-017/sample_03.jpg|data_video/review/archive_candidate_frames/airfryer-017/sample_04.jpg|data_video/review/archive_candidate_frames/airfryer-017/sample_05.jpg,normal,,R1,pending,pending,,,,,,,pending,pending,
airfryer-022,full_positive_review,Air Fryer,Air Fryer,Tina's Joyful Kitchen- Air Fryer Chicken and Veggie Crunch Salad,Internet Archive,https://archive.org/details/mmcmd-Tina_s_Joyful_Kitchen-_Air_Fryer_Chicken_and_Veggie_Crunch_Salad,Montgomery Municipal Cable - MMC-TV,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,operation,yes,"A glass-covered air fryer with food inside is visible on the counter in frames 2 and 5, with a light on. The woman is standing near it, indicating active use or demonstration.",,data_video/review/archive_candidate_frames/airfryer-022/sample_01.jpg|data_video/review/archive_candidate_frames/airfryer-022/sample_02.jpg|data_video/review/archive_candidate_frames/airfryer-022/sample_03.jpg|data_video/review/archive_candidate_frames/airfryer-022/sample_04.jpg|data_video/review/archive_candidate_frames/airfryer-022/sample_05.jpg,normal,,R1,pending,pending,,,,,,,pending,pending,
airfryer-024,full_positive_review,Air Fryer,Air Fryer,NuWave Brio Digital Air Fryer,Internet Archive,https://archive.org/details/youtube-NmN53yuxr-U,NuWave LLC,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,operation,yes,"Frames show the NuWave Brio Digital Air Fryer being used to cook French fries, with a basket being removed and the control panel being operated to set temperature and time.",,data_video/review/archive_candidate_frames/airfryer-024/sample_01.jpg|data_video/review/archive_candidate_frames/airfryer-024/sample_02.jpg|data_video/review/archive_candidate_frames/airfryer-024/sample_03.jpg|data_video/review/archive_candidate_frames/airfryer-024/sample_04.jpg|data_video/review/archive_candidate_frames/airfryer-024/sample_05.jpg,normal,,R1,pending,pending,,,,,,,pending,pending,
airfryer-026,full_positive_review,Air Fryer,Air Fryer,MontereyRecreation Presents: That's Good! Air Fryer Donuts Demo,Internet Archive,https://archive.org/details/monterca-MontereyRecreation_Presents_-_That_s_Good_Air_Fryer_Donuts_Demo,City of Monterey CA,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,operation,yes,"A black air fryer is visible on the counter in multiple frames. In frame 5, cooked donuts are shown on a rack next to the air fryer, indicating its use for cooking.",,data_video/review/archive_candidate_frames/airfryer-026/sample_01.jpg|data_video/review/archive_candidate_frames/airfryer-026/sample_02.jpg|data_video/review/archive_candidate_frames/airfryer-026/sample_03.jpg|data_video/review/archive_candidate_frames/airfryer-026/sample_04.jpg|data_video/review/archive_candidate_frames/airfryer-026/sample_05.jpg,normal,,R1,pending,pending,,,,,,,pending,pending,
airfryer-027,full_positive_review,Air Fryer,Air Fryer,Cooking With Bob: Air Fryer or Oven Baked Buffalo Wings?,Internet Archive,https://archive.org/details/youtube-ohiGKnzmfAY,The American Patriot,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,operation,yes,"A black Gourmia air fryer is visible with its digital display showing '38' and a hand placing food into the basket. The context includes preparing buffalo wings, consistent with air fryer use.",,data_video/review/archive_candidate_frames/airfryer-027/sample_01.jpg|data_video/review/archive_candidate_frames/airfryer-027/sample_02.jpg|data_video/review/archive_candidate_frames/airfryer-027/sample_03.jpg|data_video/review/archive_candidate_frames/airfryer-027/sample_04.jpg|data_video/review/archive_candidate_frames/airfryer-027/sample_05.jpg,normal,,R1,pending,pending,,,,,,,pending,pending,
airfryer-028,full_positive_review,Air Fryer,Air Fryer,Library Kitchen: Easy Air Fryer Egg Cups,Internet Archive,https://archive.org/details/gctvva-Library_Kitchen_-_Easy_Air_Fryer_Egg_Cups,Gloucester County VA,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,operation,yes,"A man in a 'Chef Library Kitchen' apron is using a black appliance with a clear container to mix ingredients, consistent with an air fryer's preparation function. A cookbook titled 'Air Fryer Cookbook for Two' is visible, and the final frames show cooked egg cups on a plate, indicating the appliance is being used for cooking.",,data_video/review/archive_candidate_frames/airfryer-028/sample_01.jpg|data_video/review/archive_candidate_frames/airfryer-028/sample_02.jpg|data_video/review/archive_candidate_frames/airfryer-028/sample_03.jpg|data_video/review/archive_candidate_frames/airfryer-028/sample_04.jpg|data_video/review/archive_candidate_frames/airfryer-028/sample_05.jpg,normal,,R1,pending,pending,,,,,,,pending,pending,
airfryer-029,full_positive_review,Air Fryer,Air Fryer,Chicken Tandoori Recipe in Philips Airfryer by VahChef,Internet Archive,https://archive.org/details/youtube-DosjRtIxuEg,Vahchef - VahRehVah,OWNER-WRITTEN-AUTHORIZATION,source_disjoint_test_candidate,pass,retain_for_human_review,operation,yes,"A black air fryer is prominently displayed on the counter. The chef is shown placing raw chicken into the fryer basket and later removing cooked chicken from it, demonstrating its use for cooking.",,data_video/review/archive_candidate_frames/airfryer-029/sample_01.jpg|data_video/review/archive_candidate_frames/airfryer-029/sample_02.jpg|data_video/review/archive_candidate_frames/airfryer-029/sample_03.jpg|data_video/review/archive_candidate_frames/airfryer-029/sample_04.jpg|data_video/review/archive_candidate_frames/airfryer-029/sample_05.jpg,normal,,R1,pending,pending,,,,,,,pending,pending,
airfryer-030,full_positive_review,Air Fryer,Air Fryer,Cooking Healthy Snacks with an Air fryer - Hardin County Extension Today June 2019,Internet Archive,https://archive.org/details/hcectvky-Cooking_Healthy_Snacks_with_an_Air_fryer_-_Hardin_County_Extension_Today_June_2019,HCEC-TV,OWNER-WRITTEN-AUTHORIZATION,source_disjoint_test_candidate,pass,retain_for_human_review,operation,yes,"A black air fryer is visible on the counter. The woman is shown interacting with it, including placing food inside and handling its handle, while subtitles describe the cooking process and safety precautions.",,data_video/review/archive_candidate_frames/airfryer-030/sample_01.jpg|data_video/review/archive_candidate_frames/airfryer-030/sample_02.jpg|data_video/review/archive_candidate_frames/airfryer-030/sample_03.jpg|data_video/review/archive_candidate_frames/airfryer-030/sample_04.jpg|data_video/review/archive_candidate_frames/airfryer-030/sample_05.jpg,normal,,R1,pending,pending,,,,,,,pending,pending,
