query_id,query_text,split,product_class,query_type,classification,basis,evaluation_policy
VQ-015,空气炸锅冒烟或有明显油烟时怎样处理？,source_disjoint_test,Air Fryer,troubleshooting,candidate_pool_no_direct_answer,"All judged candidates have grade <=1; the question is operational and answerable in principle, so this is not an unanswerable query.",exclude from binary pool-relative macro metrics; count as zero in coverage-adjusted metrics and include in no-answer analysis
VQ-017,使用空气炸锅时怎样避免堵住进出风口？,source_disjoint_test,Air Fryer,safety,candidate_pool_no_direct_answer,"All judged candidates have grade <=1; the question is operational and answerable in principle, so this is not an unanswerable query.",exclude from binary pool-relative macro metrics; count as zero in coverage-adjusted metrics and include in no-answer analysis
VQ-025,咖啡机蒸汽棒怎样打开并用于打奶泡？,development,Espresso Machine,component,candidate_pool_no_direct_answer,"All judged candidates have grade <=1; the question is operational and answerable in principle, so this is not an unanswerable query.",exclude from binary pool-relative macro metrics; count as zero in coverage-adjusted metrics and include in no-answer analysis
VQ-028,How should an espresso-machine steam wand be wiped and purged after steaming milk?,source_disjoint_test,Espresso Machine,maintenance,candidate_pool_no_direct_answer,"All judged candidates have grade <=1; the question is operational and answerable in principle, so this is not an unanswerable query.",exclude from binary pool-relative macro metrics; count as zero in coverage-adjusted metrics and include in no-answer analysis
VQ-031,浓缩咖啡流速过快或过慢时怎样调整？,source_disjoint_test,Espresso Machine,troubleshooting,candidate_pool_no_direct_answer,"All judged candidates have grade <=1; the question is operational and answerable in principle, so this is not an unanswerable query.",exclude from binary pool-relative macro metrics; count as zero in coverage-adjusted metrics and include in no-answer analysis
VQ-032,How do I address an espresso-machine steam wand that is blocked or produces no steam?,source_disjoint_test,Espresso Machine,troubleshooting,candidate_pool_no_direct_answer,"All judged candidates have grade <=1; the question is operational and answerable in principle, so this is not an unanswerable query.",exclude from binary pool-relative macro metrics; count as zero in coverage-adjusted metrics and include in no-answer analysis
VQ-033,使用咖啡机蒸汽棒时怎样避免被高温蒸汽烫伤？,source_disjoint_test,Espresso Machine,safety,candidate_pool_no_direct_answer,"All judged candidates have grade <=1; the question is operational and answerable in principle, so this is not an unanswerable query.",exclude from binary pool-relative macro metrics; count as zero in coverage-adjusted metrics and include in no-answer analysis
VQ-034,How should espresso-machine pressure be allowed to release before removing the portafilter?,source_disjoint_test,Espresso Machine,safety,candidate_pool_no_direct_answer,"All judged candidates have grade <=1; the question is operational and answerable in principle, so this is not an unanswerable query.",exclude from binary pool-relative macro metrics; count as zero in coverage-adjusted metrics and include in no-answer analysis
VQ-045,怎样清理压力锅的排气阀和防堵部件？,source_disjoint_test,Pressure Cooker,maintenance,candidate_pool_no_direct_answer,"All judged candidates have grade <=1; the question is operational and answerable in principle, so this is not an unanswerable query.",exclude from binary pool-relative macro metrics; count as zero in coverage-adjusted metrics and include in no-answer analysis
VQ-048,What should I do when an electric pressure cooker shows a burn warning?,source_disjoint_test,Pressure Cooker,troubleshooting,candidate_pool_no_direct_answer,"All judged candidates have grade <=1; the question is operational and answerable in principle, so this is not an unanswerable query.",exclude from binary pool-relative macro metrics; count as zero in coverage-adjusted metrics and include in no-answer analysis
